entry_point_rl	entry_point_ap	vertical_angle	horizontal_angle	axial_angle	distance_advanced
-1400	820	66.28670822	221.5227906	0	3850
-2060	190	67.53917672	294.4604384	0	3800
-1280	-510	72.43626466	37.90182552	0	3950
