object,unit_id,stageA_lr,cluster4,n_common_trials_stageB
Hench_2017-06-18,1201,0,0,45
Hench_2017-06-18,1203,0,0,45
Hench_2017-06-18,1207,0,0,45
Hench_2017-06-18,1209,0,0,45
Hench_2017-06-18,1213,0,0,45
Hench_2017-06-18,1217,1,2,45
Hench_2017-06-18,1218,0,0,45
Hench_2017-06-18,1220,0,0,45
Hench_2017-06-18,1224,0,0,45
Hench_2017-06-18,1227,0,0,45
Hench_2017-06-18,1230,0,0,45
Hench_2017-06-18,1238,1,2,45
Hench_2017-06-18,1240,0,0,45
Hench_2017-06-18,1249,0,0,45
Hench_2017-06-18,1254,0,0,45
Hench_2017-06-18,1263,1,2,45
Hench_2017-06-18,1264,0,0,45
Hench_2017-06-18,1265,0,0,45
Hench_2017-06-18,1266,1,2,45
Hench_2017-06-18,1267,0,0,45
Hench_2017-06-18,1268,0,0,45
Hench_2017-06-18,1270,0,0,45
Hench_2017-06-18,1271,0,0,45
Hench_2017-06-18,1274,0,0,45
Hench_2017-06-18,1279,0,0,45
Hench_2017-06-18,1289,0,0,45
Hench_2017-06-18,1291,0,0,45
Hench_2017-06-18,1292,0,0,45
Hench_2017-06-18,1295,1,2,45
Hench_2017-06-18,1297,1,2,45
Hench_2017-06-18,1300,0,0,45
Hench_2017-06-18,1301,0,0,45
Hench_2017-06-18,1306,0,0,45
Hench_2017-06-18,1309,0,0,45
Hench_2017-06-18,1312,0,0,45
Hench_2017-06-18,1317,1,2,45
Hench_2017-06-18,1326,1,2,45
Hench_2017-06-18,1347,0,0,45
Hench_2017-06-18,1349,0,0,45
Hench_2017-06-18,1354,0,0,45
Hench_2017-06-18,1356,0,0,45
Hench_2017-06-18,1362,0,0,45
Hench_2017-06-18,1365,0,0,45
Hench_2017-06-18,1375,0,0,45
Hench_2017-06-18,1380,1,2,45
Hench_2017-06-18,1381,0,0,45
Hench_2017-06-18,1393,1,2,45
Hench_2017-06-18,1396,0,0,45
Hench_2017-06-18,1398,1,2,45
Hench_2017-06-18,1399,0,0,45
Hench_2017-06-18,1400,0,0,45
Hench_2017-06-18,1403,0,0,45
Hench_2017-06-18,1405,1,2,45
Hench_2017-06-18,1407,1,2,45
