ccf_ap	ccf_dv	ccf_lr	allen_ontology
5134.9	2668.9	4759.2	root
5097	2650.6	4789.8	root
5118.2	2650.6	4765.9	root
5122.8	2632.2	4748.6	root
5085	2613.9	4779.2	root
5106.2	2613.9	4755.2	root
5089.6	2595.6	4761.9	root
5110.8	2595.6	4737.9	root
5072.9	2577.3	4768.5	root
5094.2	2577.3	4744.6	root
5077.5	2559	4751.2	root
5098.7	2559	4727.3	root
5060.9	2540.7	4757.9	root
5082.1	2540.7	4733.9	root
5065.5	2522.4	4740.5	root
5086.7	2522.4	4716.6	root
5048.9	2504.1	4747.2	root
5070.1	2504.1	4723.2	root
5053.4	2485.8	4729.9	root
5074.6	2485.8	4705.9	root
5036.8	2467.4	4736.5	root
5058	2467.4	4712.6	root
5041.4	2449.1	4719.2	root
5062.6	2449.1	4695.3	root
5024.8	2430.8	4725.9	root
5046	2430.8	4701.9	root
5029.3	2412.5	4708.6	root
5050.6	2412.5	4684.6	root
5012.7	2394.2	4715.2	root
5033.9	2394.2	4691.2	root
5017.3	2375.9	4697.9	root
5038.5	2375.9	4673.9	root
5000.7	2357.6	4704.5	root
5021.9	2357.6	4680.6	root
5005.3	2339.3	4687.2	root
5026.5	2339.3	4663.3	root
4988.6	2321	4693.9	root
5009.8	2321	4669.9	root
4993.2	2302.6	4676.6	root
5014.4	2302.6	4652.6	root
4976.6	2284.3	4683.2	root
4981.2	2266	4665.9	root
5002.4	2266	4641.9	root
4964.5	2247.7	4672.5	root
4985.8	2247.7	4648.6	root
4969.1	2229.4	4655.2	root
4990.3	2229.4	4631.3	root
4952.5	2211.1	4661.9	root
4973.7	2211.1	4637.9	root
4957.1	2192.8	4644.6	root
4978.3	2192.8	4620.6	root
4940.5	2174.5	4651.2	root
4961.7	2174.5	4627.3	root
4945	2156.2	4633.9	root
4966.3	2156.2	4609.9	root
4928.4	2137.8	4640.6	root
4949.6	2137.8	4616.6	root
4933	2119.5	4623.2	root
4954.2	2119.5	4599.3	root
4916.4	2101.2	4629.9	root
4937.6	2101.2	4605.9	root
4921	2082.9	4612.6	root
4942.2	2082.9	4588.6	root
4904.3	2064.6	4619.2	root
4925.5	2064.6	4595.3	root
4908.9	2046.3	4601.9	root
4930.1	2046.3	4578	root
4892.3	2028	4608.6	root
4913.5	2028	4584.6	root
4896.9	2009.7	4591.3	MOp
4918.1	2009.7	4567.3	MOp
4880.2	1991.3	4597.9	MOp
4901.5	1991.3	4573.9	MOp
4884.8	1973	4580.6	MOp
4906	1973	4556.6	MOp
4868.2	1954.7	4587.2	MOp
4889.4	1954.7	4563.3	MOp
4894	1936.4	4546	MOp
4856.2	1918.1	4576.6	MOp
4877.4	1918.1	4552.6	MOp
4860.7	1899.8	4559.3	MOp
4881.9	1899.8	4535.3	MOp
4844.1	1881.5	4565.9	MOp
4865.3	1881.5	4541.9	MOp
4848.7	1863.2	4548.6	MOp
4869.9	1863.2	4524.6	MOp
4832.1	1844.9	4555.2	MOp
4853.3	1844.9	4531.3	MOp
4836.6	1826.5	4537.9	MOp
4857.9	1826.5	4514	MOp
4820	1808.2	4544.6	MOp
4841.2	1808.2	4520.6	MOp
4824.6	1789.9	4527.3	MOp
4845.8	1789.9	4503.3	MOp
4808	1771.6	4533.9	MOp
4829.2	1771.6	4510	MOp
4812.6	1753.3	4516.6	MOp
4833.8	1753.3	4492.6	MOp
4795.9	1735	4523.2	MOp
4817.1	1735	4499.3	MOp
4800.5	1716.7	4505.9	MOp
4821.7	1716.7	4482	MOp
4783.9	1698.4	4512.6	MOp
4805.1	1698.4	4488.6	MOp
4788.5	1680.1	4495.3	MOp
4809.7	1680.1	4471.3	MOp
4771.8	1661.7	4501.9	MOp
4793.1	1661.7	4478	MOp
4776.4	1643.4	4484.6	MOp
4797.6	1643.4	4460.7	MOp
4759.8	1625.1	4491.3	MOp
4781	1625.1	4467.3	MOp
4764.4	1606.8	4473.9	MOp
4785.6	1606.8	4450	MOp
4747.8	1588.5	4480.6	MOp
4752.3	1570.2	4463.3	MOp
4773.6	1570.2	4439.3	MOp
4735.7	1551.9	4469.9	MOp
4756.9	1551.9	4446	MOp
4740.3	1533.6	4452.6	MOp
4761.5	1533.6	4428.7	MOp
