,dSPN_left,dSPN_right,iSPN_left,iSPN_right,GPi_left,GPi_right,GPeP_left,GPeP_right,Th_left,Th_right,state_num,state_num_full,chosen_action,trial_num,bin_num,seed,phase,block
0,0,0,0,0,1,1,1,1,0,0,60,816,left,0,0,232_0,0,left
1,0,0,0,0,1,1,1,1,0,0,60,816,left,0,1,232_0,0,left
2,0,0,0,0,1,1,1,1,0,0,60,816,left,0,2,232_0,0,left
3,0,0,0,0,1,1,1,1,0,0,60,816,left,0,3,232_0,0,left
4,0,0,0,0,1,1,1,1,0,0,60,816,left,0,4,232_0,0,left
5,0,0,0,0,1,1,1,1,0,0,60,816,left,0,5,232_0,0,left
6,0,0,0,0,1,1,1,1,0,0,60,100144,left,0,6,232_0,0,left
7,0,0,0,0,1,1,1,1,0,0,60,100144,left,0,7,232_0,0,left
8,0,0,0,0,1,1,1,1,1,1,63,231219,left,0,8,232_0,0,left
9,0,0,0,0,1,1,1,1,1,1,63,231219,left,0,9,232_0,0,left
10,1,1,0,0,0,1,1,1,1,1,799,255767,left,0,10,232_0,0,left
11,1,1,1,1,0,0,1,0,1,1,971,261639,left,0,11,232_0,1,left
12,1,1,1,1,0,0,0,1,1,1,967,261519,left,0,12,232_0,1,left
13,1,1,1,1,0,0,0,1,1,1,967,261579,left,0,13,232_0,1,left
14,1,1,1,1,0,0,0,1,1,1,967,228815,left,0,14,232_0,1,left
15,1,1,1,1,0,0,0,1,1,1,967,228811,left,0,15,232_0,1,left
16,1,1,1,1,0,0,0,1,1,1,967,228811,left,0,16,232_0,1,left
17,1,1,1,0,0,0,0,1,1,1,903,226699,left,0,17,232_0,1,left
18,1,1,1,0,1,0,0,1,1,1,935,226731,left,0,18,232_0,1,left
19,1,1,1,0,1,0,0,1,1,1,935,226731,left,0,19,232_0,1,left
20,1,1,1,0,1,0,0,1,1,1,935,225707,left,0,20,232_0,1,left
21,1,1,1,0,0,0,0,1,1,1,903,225675,left,0,21,232_0,1,left
22,1,0,1,0,0,0,0,1,1,1,647,218507,left,0,22,232_0,1,left
23,1,0,1,0,0,0,0,1,1,1,647,218507,left,0,23,232_0,1,left
24,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,24,232_0,1,left
25,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,25,232_0,1,left
26,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,26,232_0,1,left
27,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,27,232_0,1,left
28,0,0,1,0,1,1,1,1,1,0,190,201658,left,0,28,232_0,1,left
29,0,0,1,0,1,1,1,1,1,0,190,201658,left,0,29,232_0,1,left
30,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,30,232_0,1,left
31,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,31,232_0,1,left
32,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,32,232_0,1,left
33,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,33,232_0,1,left
34,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,34,232_0,1,left
35,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,35,232_0,1,left
36,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,36,232_0,1,left
37,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,37,232_0,1,left
38,1,0,1,0,0,1,0,1,1,0,662,217498,left,0,38,232_0,1,left
39,1,0,1,0,0,1,0,1,1,0,662,151962,left,0,39,232_0,1,left
40,1,0,1,0,0,1,0,1,1,0,662,151962,left,0,40,232_0,1,left
41,1,0,1,0,0,1,0,1,1,0,662,151962,left,0,41,232_0,2,left
42,1,0,1,0,0,1,0,1,1,0,662,20890,left,0,42,232_0,2,left
43,1,0,1,0,0,1,0,1,1,0,662,20890,left,0,43,232_0,2,left
44,1,0,1,0,0,1,0,1,1,0,662,20890,left,0,44,232_0,2,left
45,1,0,1,0,0,1,0,1,1,0,662,20890,left,0,45,232_0,2,left
46,1,0,1,0,0,1,1,1,1,0,670,21402,left,0,46,232_0,2,left
47,1,0,1,0,0,1,1,1,1,0,670,21394,left,0,47,232_0,2,left
48,0,0,0,0,1,1,1,1,1,0,62,946,left,0,48,232_0,2,left
49,0,0,0,0,1,1,1,1,0,0,60,944,left,0,49,232_0,2,left
50,0,0,0,0,1,1,1,1,0,0,60,816,left,0,50,232_0,2,left
51,0,0,0,0,1,1,1,1,0,0,60,816,left,0,51,232_0,2,left
52,0,0,0,0,1,1,1,1,0,0,60,816,left,0,52,232_0,2,left
53,0,0,0,0,1,1,1,1,0,0,60,816,left,0,53,232_0,2,left
54,0,0,0,0,1,1,1,1,0,0,60,816,left,0,54,232_0,2,left
55,0,0,0,0,1,1,1,1,0,0,60,816,left,0,55,232_0,2,left
56,0,0,0,0,1,1,1,1,0,0,60,816,left,0,56,232_0,2,left
57,0,0,0,0,1,1,1,1,0,0,60,816,left,0,57,232_0,2,left
58,0,0,0,0,1,1,1,1,0,0,60,816,left,0,58,232_0,2,left
59,0,0,0,0,1,1,1,1,0,0,60,816,left,0,59,232_0,2,left
60,0,0,0,0,1,1,1,1,0,0,60,816,left,0,60,232_0,2,left
61,0,0,0,0,1,1,1,1,0,0,60,816,left,0,61,232_0,2,left
62,0,0,0,0,1,1,1,1,0,0,60,816,left,0,62,232_0,2,left
63,0,0,0,0,1,1,1,1,0,0,60,816,left,0,63,232_0,2,left
64,0,0,0,0,1,1,1,1,0,0,60,816,left,0,64,232_0,2,left
65,0,0,0,0,1,1,1,1,0,0,60,816,left,0,65,232_0,2,left
66,0,0,0,0,1,1,1,1,0,0,60,816,left,0,66,232_0,2,left
67,0,0,0,0,1,1,1,1,0,0,60,816,left,0,67,232_0,2,left
68,0,0,0,0,1,1,1,1,0,0,60,816,left,0,68,232_0,2,left
69,0,0,0,0,1,1,1,1,0,0,60,816,left,0,69,232_0,2,left
70,0,0,0,0,1,1,1,1,0,0,60,816,left,0,70,232_0,2,left
71,0,0,0,0,0,1,1,1,0,0,28,784,left,0,71,232_0,2,left
72,0,0,0,0,0,1,1,1,0,0,28,784,left,0,72,232_0,2,left
73,0,0,0,0,0,1,1,1,0,0,28,784,left,0,73,232_0,2,left
74,0,0,0,0,1,1,1,1,0,0,60,816,left,0,74,232_0,2,left
75,0,0,0,0,1,1,1,1,0,0,60,816,left,0,75,232_0,2,left
76,0,0,0,0,1,1,1,1,0,0,60,816,left,0,76,232_0,2,left
77,0,0,0,0,1,1,1,1,0,0,60,816,left,0,77,232_0,2,left
78,0,0,0,0,1,1,1,1,0,0,60,816,left,0,78,232_0,2,left
79,0,0,0,0,1,1,1,1,0,0,60,816,left,0,79,232_0,2,left
80,0,0,0,0,1,1,1,1,0,0,60,816,left,0,80,232_0,2,left
81,0,0,0,0,1,1,1,1,0,0,60,816,left,0,81,232_0,2,left
82,0,0,0,0,1,1,1,1,0,0,60,816,left,0,82,232_0,2,left
83,0,0,0,0,1,1,1,1,0,0,60,816,left,0,83,232_0,2,left
84,0,0,0,0,1,1,1,1,0,0,60,816,left,0,84,232_0,2,left
85,0,0,0,0,1,1,1,1,0,0,60,816,left,0,85,232_0,2,left
86,0,0,0,0,1,1,1,1,0,0,60,816,left,0,86,232_0,2,left
87,0,0,0,0,1,1,1,1,0,0,60,816,left,0,87,232_0,2,left
88,0,0,0,0,1,1,0,1,0,0,52,312,left,0,88,232_0,2,left
89,0,0,0,0,1,1,1,1,0,0,60,816,left,0,89,232_0,2,left
90,0,0,0,0,1,1,1,1,0,0,60,816,left,0,90,232_0,2,left
91,0,0,0,0,1,1,1,1,0,0,60,816,left,0,91,232_0,2,left
92,0,0,0,0,1,1,1,1,0,0,60,816,left,0,92,232_0,2,left
93,0,0,0,0,1,1,1,1,0,0,60,880,left,0,93,232_0,2,left
94,0,0,0,0,1,1,1,1,0,0,60,880,left,0,94,232_0,2,left
95,0,0,0,0,1,1,1,1,0,0,60,880,left,0,95,232_0,2,left
96,0,0,0,0,1,1,1,1,0,0,60,816,left,0,96,232_0,2,left
97,0,0,0,0,1,1,1,1,0,0,60,816,right,1,97,232_0,0,left
98,0,0,0,0,1,1,1,1,0,0,60,816,right,1,98,232_0,0,left
99,0,0,0,0,1,1,1,1,0,0,60,816,right,1,99,232_0,0,left
100,0,0,0,0,1,1,1,1,0,0,60,816,right,1,100,232_0,0,left
101,0,0,0,0,1,1,1,1,0,0,60,99120,right,1,101,232_0,0,left
102,0,0,0,0,1,1,1,1,0,1,61,100145,right,1,102,232_0,0,left
103,0,0,0,0,1,1,1,1,1,1,63,231219,right,1,103,232_0,0,left
104,0,0,0,0,1,1,1,1,1,1,63,231219,right,1,104,232_0,0,left
105,1,1,1,0,0,0,0,1,1,1,903,259339,right,1,105,232_0,0,left
106,1,1,1,1,0,0,0,1,1,1,967,261451,right,1,106,232_0,1,left
107,1,1,1,1,0,0,1,0,1,1,971,261839,right,1,107,232_0,1,left
108,1,1,1,1,0,0,1,0,1,1,971,261839,right,1,108,232_0,1,left
109,1,1,1,1,0,0,0,0,1,1,963,195791,right,1,109,232_0,1,left
110,1,1,1,1,0,0,1,0,1,1,971,196303,right,1,110,232_0,1,left
111,1,1,1,1,0,0,1,0,1,1,971,196295,right,1,111,232_0,1,left
112,1,1,1,1,0,0,1,0,1,1,971,195271,right,1,112,232_0,1,left
113,1,1,0,1,0,0,1,0,1,1,843,191175,right,1,113,232_0,1,left
114,0,1,0,1,1,0,1,0,1,1,363,174695,right,1,114,232_0,1,left
115,0,1,0,1,1,0,1,0,1,1,363,174695,right,1,115,232_0,1,left
116,0,1,0,1,1,0,1,0,1,1,363,174695,right,1,116,232_0,1,left
117,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,117,232_0,1,left
118,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,118,232_0,1,left
119,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,119,232_0,1,left
120,0,1,0,1,1,0,1,0,0,1,361,174693,right,1,120,232_0,1,left
