ccf_ap	ccf_dv	ccf_lr	allen_ontology
5376	4161.4	2999.3	CP
5424	4142.1	3004.5	CP
5392	4142.1	3004.5	CP
5408	4122.8	3009.7	CP
5376	4122.8	3009.7	CP
5424	4103.5	3014.8	CP
5392	4103.5	3014.8	CP
5376	4084.1	3020	CP
5424	4064.8	3025.2	CP
5392	4064.8	3025.2	CP
5408	4045.5	3030.4	CP
5376	4045.5	3030.4	CP
5424	4026.2	3035.5	CP
5392	4026.2	3035.5	CP
5408	4006.9	3040.7	CP
5376	4006.9	3040.7	CP
5424	3987.6	3045.9	CP
5392	3987.6	3045.9	CP
5408	3968.2	3051.1	CP
5376	3968.2	3051.1	CP
5424	3948.9	3056.2	CP
5392	3948.9	3056.2	CP
5408	3929.6	3061.4	CP
5376	3929.6	3061.4	CP
5424	3910.3	3066.6	CP
5392	3910.3	3066.6	CP
5408	3891	3071.8	CP
5376	3891	3071.8	CP
5424	3871.6	3077	CP
5392	3871.6	3077	CP
5408	3852.3	3082.1	CP
5376	3852.3	3082.1	CP
5424	3833	3087.3	CP
5392	3833	3087.3	CP
5408	3813.7	3092.5	CP
5376	3813.7	3092.5	CP
5424	3794.4	3097.7	CP
5392	3794.4	3097.7	CP
5408	3775.1	3102.8	CP
5376	3775.1	3102.8	CP
5424	3755.7	3108	CP
5392	3755.7	3108	CP
5408	3736.4	3113.2	CP
5376	3736.4	3113.2	CP
5424	3717.1	3118.4	CP
5408	3697.8	3123.5	CP
5376	3697.8	3123.5	CP
5424	3678.5	3128.7	CP
5392	3678.5	3128.7	CP
5408	3659.1	3133.9	CP
5376	3659.1	3133.9	CP
5424	3639.8	3139.1	CP
5392	3639.8	3139.1	CP
5408	3620.5	3144.2	CP
5376	3620.5	3144.2	CP
5424	3601.2	3149.4	CP
5392	3601.2	3149.4	CP
5408	3581.9	3154.6	CP
5376	3581.9	3154.6	CP
5424	3562.5	3159.8	CP
5392	3562.5	3159.8	CP
5408	3543.2	3165	CP
5376	3543.2	3165	CP
5424	3523.9	3170.1	CP
5392	3523.9	3170.1	CP
5408	3504.6	3175.3	CP
5376	3504.6	3175.3	CP
5424	3485.3	3180.5	CP
5392	3485.3	3180.5	CP
5408	3466	3185.7	CP
5376	3466	3185.7	CP
5424	3446.6	3190.8	CP
5392	3446.6	3190.8	CP
5408	3427.3	3196	CP
5376	3427.3	3196	CP
5424	3408	3201.2	CP
5392	3408	3201.2	CP
5408	3388.7	3206.4	CP
5376	3388.7	3206.4	CP
5424	3369.4	3211.5	CP
5392	3369.4	3211.5	CP
5376	3350	3216.7	CP
5424	3330.7	3221.9	CP
5392	3330.7	3221.9	CP
5408	3311.4	3227.1	CP
5376	3311.4	3227.1	CP
5424	3292.1	3232.2	CP
5392	3292.1	3232.2	CP
5408	3272.8	3237.4	CP
5376	3272.8	3237.4	CP
5424	3253.5	3242.6	CP
5392	3253.5	3242.6	CP
5408	3234.1	3247.8	CP
5376	3234.1	3247.8	CP
5424	3214.8	3253	CP
5392	3214.8	3253	CP
5408	3195.5	3258.1	CP
5376	3195.5	3258.1	CP
5424	3176.2	3263.3	CP
5392	3176.2	3263.3	CP
5408	3156.9	3268.5	CP
5376	3156.9	3268.5	CP
5424	3137.5	3273.7	CP
5392	3137.5	3273.7	CP
5408	3118.2	3278.8	CP
5376	3118.2	3278.8	CP
5424	3098.9	3284	CP
5392	3098.9	3284	CP
5408	3079.6	3289.2	CP
5376	3079.6	3289.2	CP
5424	3060.3	3294.4	CP
5392	3060.3	3294.4	CP
5408	3040.9	3299.5	CP
5376	3040.9	3299.5	CP
5424	3021.6	3304.7	CP
5392	3021.6	3304.7	CP
5408	3002.3	3309.9	CP
5376	3002.3	3309.9	CP
5424	2983	3315.1	CP
5408	2963.7	3320.2	CP
5376	2963.7	3320.2	CP
5424	2944.4	3325.4	CP
5392	2944.4	3325.4	CP
5408	2925	3330.6	CP
5376	2925	3330.6	CP
5424	2905.7	3335.8	CP
5392	2905.7	3335.8	CP
5408	2886.4	3341	CP
5376	2886.4	3341	CP
5424	2867.1	3346.1	CP
5392	2867.1	3346.1	CP
5408	2847.8	3351.3	CP
5376	2847.8	3351.3	CP
5424	2828.4	3356.5	CP
5392	2828.4	3356.5	CP
5408	2809.1	3361.7	CP
5376	2809.1	3361.7	CP
5424	2789.8	3366.8	CP
5392	2789.8	3366.8	CP
5408	2770.5	3372	CP
5376	2770.5	3372	CP
5424	2751.2	3377.2	CP
5392	2751.2	3377.2	CP
5408	2731.9	3382.4	CP
5376	2731.9	3382.4	CP
5424	2712.5	3387.5	CP
5392	2712.5	3387.5	CP
5408	2693.2	3392.7	CP
5376	2693.2	3392.7	CP
