,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,left,133_0,0,left,0,0.8553274682306942,0.0,0.0,4.505050505050505,4.181818181818182,3.8383838383838382,5.151515151515151,6.323232323232322,53.906926406926395,51.8939393939394,5.797448165869219,5.893141945773524,81.13131313131312,81.59595959595958,24.624242424242425,25.367676767676766,2.8484848484848486,4.101010101010101,No
1,1,10.0,left,133_0,0,left,0,0.5294884327142392,0.0,0.0,4.848484848484848,3.757575757575758,4.646464646464645,6.040404040404039,6.484848484848484,53.658008658008654,50.51406926406926,5.0797448165869215,6.1483253588516735,80.74747474747474,86.48484848484848,24.955555555555556,25.38989898989899,3.090909090909091,3.6767676767676765,No
2,2,20.0,left,133_0,0,left,0,0.5294884327142392,0.13368983957219252,0.11883541295306001,4.8686868686868685,3.4141414141414144,5.070707070707071,6.202020202020202,6.242424242424241,53.45508658008658,50.36525974025974,4.258373205741626,7.153110047846889,81.35353535353535,87.8989898989899,25.139393939393937,25.472727272727273,3.414141414141415,2.666666666666666,No
3,3,30.0,left,133_0,0,left,0,0.6028022157054416,1.5374331550802138,1.60427807486631,5.3939393939393945,2.545454545454545,5.212121212121212,6.3232323232323235,6.686868686868686,53.785173160173166,49.98917748917748,3.684210526315789,8.42902711323764,80.06060606060606,91.31313131313131,25.010101010101007,25.927272727272733,3.6161616161616164,1.4949494949494948,No
4,4,40.0,left,133_0,0,left,0,0.7331378299120235,4.946524064171123,5.147058823529411,4.989898989898989,1.97979797979798,5.0101010101010095,5.757575757575757,7.696969696969696,52.954545454545446,51.509740259740255,3.0622009569377995,9.880382775119616,80.1010101010101,92.08080808080808,24.476767676767675,25.48888888888889,4.06060606060606,1.4545454545454546,No
5,5,50.0,left,133_0,0,left,0,1.18931247963506,9.321152703505645,8.949792038027333,4.404040404040404,1.515151515151515,4.141414141414142,5.050505050505049,9.414141414141413,54.377705627705616,51.64502164502165,2.679425837320574,10.853269537480065,81.73737373737373,93.93939393939394,24.36969696969697,24.775757575757574,4.666666666666666,2.242424242424242,No
6,6,60.0,left,133_0,0,left,0,1.8328445747800586,13.101604278074864,12.618835412953057,3.9797979797979797,2.1010101010101008,4.484848484848484,4.7474747474747465,10.626262626262625,53.712121212121204,52.129329004328994,2.4641148325358855,11.64274322169059,82.58585858585857,93.4141414141414,24.058585858585854,25.036363636363635,6.282828282828283,4.12121212121212,No
7,7,70.0,left,133_0,0,left,0,2.8347996089931575,17.39453357100416,17.33511586452763,3.737373737373737,2.888888888888889,4.686868686868686,4.525252525252525,12.18181818181818,52.5297619047619,53.152056277056275,2.5598086124401913,11.953748006379584,84.98989898989899,88.7070707070707,24.81212121212121,24.654545454545453,8.626262626262626,8.484848484848484,No
8,8,80.0,left,133_0,0,left,0,3.7471489084392307,21.06357694592989,20.736779560308975,4.2020202020202015,3.5151515151515156,4.848484848484848,4.787878787878786,13.575757575757576,53.249458874458874,51.780303030303024,3.062200956937799,11.507177033492823,83.53535353535354,87.05050505050504,24.62828282828283,24.87878787878788,11.757575757575756,12.686868686868685,No
9,9,90.0,left,133_0,0,left,0,4.6106223525578365,23.440285204991085,23.403149138443254,5.292929292929292,4.3232323232323235,5.474747474747474,4.7272727272727275,14.525252525252524,51.1823593073593,53.20616883116883,4.09090909090909,10.709728867623607,82.16161616161615,84.7070707070707,24.640404040404043,24.466666666666665,16.02020202020202,15.85858585858586,No
