,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,267_0,0,left,0,0.6598240469208211,0.0,0.0,3.5151515151515156,2.0606060606060597,4.363636363636363,3.2323232323232323,6.606060606060606,51.96969696969697,55.35714285714286,7.575757575757574,7.248803827751197,87.63636363636361,86.68686868686869,24.995959595959597,23.175757575757576,2.141414141414141,2.3232323232323226,No
1,1,10.0,right,267_0,0,left,0,0.790159661127403,0.0,0.0,3.757575757575758,1.6565656565656566,4.545454545454545,3.1717171717171713,6.4646464646464645,51.73160173160172,55.23268398268397,8.181818181818182,6.658692185007975,85.6969696969697,88.74747474747473,24.404040404040405,23.11111111111111,2.222222222222222,2.5050505050505047,No
2,2,20.0,right,267_0,0,left,0,0.6842619745845553,0.148544266191325,0.029708853238265002,3.494949494949495,1.7171717171717176,5.010101010101009,3.5555555555555567,6.7272727272727275,50.58712121212122,55.58170995670994,8.341307814992023,5.215311004784689,85.93939393939394,87.53535353535352,24.73939393939394,23.583838383838383,2.0808080808080804,2.9494949494949494,No
3,3,30.0,right,267_0,0,left,0,0.6190941674812643,1.6414141414141412,1.1437908496732023,3.1515151515151514,2.02020202020202,4.040404040404041,3.1919191919191916,7.1313131313131315,52.589285714285715,55.11904761904761,8.42902711323764,3.4370015948963313,87.19191919191918,85.85858585858585,24.464646464646464,23.767676767676765,2.1010101010101008,3.2121212121212124,No
4,4,40.0,right,267_0,0,left,0,0.7331378299120235,5.570409982174687,4.441473559120618,3.01010101010101,2.3636363636363638,3.393939393939394,3.1515151515151514,8.525252525252524,53.63095238095238,54.46969696969697,8.429027113237638,2.121212121212121,85.33333333333334,84.46464646464646,23.24242424242424,23.81212121212121,2.5252525252525255,3.797979797979798,No
5,5,50.0,right,267_0,0,left,0,1.2218963831867058,10.049019607843135,9.090909090909092,2.2828282828282824,3.111111111111111,2.96969696969697,3.6363636363636362,9.858585858585858,54.68885281385281,53.146645021645014,8.5725677830941,1.0765550239234452,84.0,83.95959595959594,23.35151515151515,24.46868686868687,4.282828282828283,5.838383838383837,No
6,6,60.0,right,267_0,0,left,0,1.995764092538286,13.74777183600713,12.811942959001781,2.161616161616161,3.4949494949494953,3.4949494949494953,4.040404040404041,11.090909090909088,53.76352813852814,53.02489177489178,8.795853269537478,0.6220095693779906,84.74747474747475,83.23232323232324,23.23232323232323,25.171717171717173,6.202020202020202,8.121212121212121,No
7,7,70.0,right,267_0,0,left,0,2.7451938742261324,16.904337492572783,16.37700534759358,2.4040404040404044,5.414141414141413,3.9797979797979792,4.848484848484849,12.464646464646462,53.035714285714285,52.65151515151515,8.668261562998405,1.0526315789473684,87.4141414141414,79.27272727272727,24.307070707070707,25.076767676767677,9.232323232323232,12.14141414141414,No
8,8,80.0,right,267_0,0,left,0,3.8041707396546105,20.692216280451575,20.313428401663696,3.373737373737374,8.222222222222221,4.929292929292929,6.303030303030303,13.898989898989898,52.781385281385276,50.50865800865801,8.285486443381181,2.0972886762360443,86.98989898989898,72.18181818181819,24.187878787878788,25.5030303030303,12.888888888888888,18.282828282828277,No
9,9,90.0,right,267_0,0,left,0,4.765395894428152,23.35115864527629,23.767082590612002,4.06060606060606,12.12121212121212,6.2020202020202015,8.626262626262623,15.414141414141413,52.38636363636363,47.51082251082251,7.615629984051036,3.3971291866028706,84.36363636363636,65.33333333333333,24.397979797979794,26.535353535353526,16.585858585858585,26.181818181818183,No
