,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,left,83_0,0,left,0,0.7168458781362008,0.0,0.0,3.373737373737374,3.333333333333334,3.9797979797979797,3.9191919191919187,7.01010101010101,51.707251082251084,54.57792207792208,7.416267942583732,3.1100478468899513,86.72727272727272,84.48484848484846,24.921212121212115,23.77171717171717,2.8282828282828287,2.4444444444444438,No
1,1,10.0,left,83_0,0,left,0,0.8064516129032259,0.0,0.0,3.111111111111111,3.7979797979797976,3.2929292929292937,4.141414141414142,6.808080808080808,54.01785714285714,53.00324675324675,7.990430622009569,1.866028708133971,87.15151515151514,84.52525252525253,24.36969696969697,24.424242424242422,2.626262626262626,2.6060606060606055,No
2,2,20.0,left,83_0,0,left,0,0.7575757575757575,0.17082590612002374,0.17082590612002377,2.9292929292929286,3.9797979797979792,3.4545454545454546,4.383838383838383,6.707070707070707,54.26677489177489,52.4025974025974,8.205741626794259,1.2360446570972887,87.53535353535352,84.12121212121211,23.713131313131314,24.840404040404042,2.626262626262626,2.848484848484848,No
3,3,30.0,left,83_0,0,left,0,0.8064516129032259,1.7453951277480686,1.6265597147950088,3.272727272727273,4.242424242424241,3.6767676767676765,4.929292929292929,7.353535353535353,53.89880952380951,51.85335497835497,8.341307814992025,1.3875598086124403,86.28282828282828,83.17171717171718,23.828282828282827,25.02020202020202,2.383838383838383,3.5555555555555554,No
4,4,40.0,left,83_0,0,left,0,0.9042033235581622,5.40701128936423,5.221330956625073,3.1717171717171713,3.9999999999999996,4.121212121212121,5.656565656565657,8.686868686868687,53.528138528138534,51.34469696969697,8.197767145135565,2.8389154704944177,85.63636363636364,83.33333333333331,24.246464646464645,25.624242424242425,2.8686868686868685,4.929292929292929,No
5,5,50.0,left,83_0,0,left,0,1.5232974910394264,9.551396316102197,9.291443850267381,2.6868686868686864,4.1010101010101,3.313131313131313,5.191919191919191,9.939393939393938,55.03517316017315,51.66937229437229,7.647527910685804,4.314194577352471,87.09090909090907,83.53535353535354,23.92525252525252,25.96565656565657,3.333333333333334,6.92929292929293,No
6,6,60.0,left,83_0,0,left,0,2.0364939719778428,14.193404634581105,13.896316102198455,2.6666666666666665,3.6767676767676774,3.4949494949494953,5.616161616161616,11.272727272727272,55.22727272727272,51.1525974025974,7.0015948963317385,5.645933014354068,88.8888888888889,84.7878787878788,23.533333333333328,25.888888888888893,4.121212121212121,9.09090909090909,No
7,7,70.0,left,83_0,0,left,0,2.7859237536656893,17.817884729649435,17.75103980986334,3.353535353535354,3.111111111111111,4.545454545454546,5.878787878787878,12.525252525252524,53.363095238095234,51.99404761904762,5.837320574162678,6.650717703349283,86.80808080808079,87.37373737373736,23.929292929292924,26.030303030303028,6.202020202020202,10.424242424242424,No
8,8,80.0,left,83_0,0,left,0,3.73900293255132,21.553773024361256,21.72459893048128,4.464646464646464,3.6363636363636362,5.111111111111111,6.787878787878788,14.0,52.35660173160173,51.9426406926407,4.8086124401913874,7.655502392344497,84.94949494949493,87.9191919191919,25.15151515151515,25.53939393939394,9.878787878787877,12.343434343434343,No
9,9,90.0,left,83_0,0,left,0,4.521016617790812,24.4281045751634,24.26470588235294,5.333333333333333,4.303030303030303,7.91919191919192,6.505050505050504,14.969696969696969,49.52110389610389,53.755411255411246,3.7639553429027113,9.0829346092504,83.13131313131312,87.63636363636363,25.442424242424238,25.5030303030303,15.212121212121213,14.383838383838384,No
10,10,100.0,left,83_0,0,left,0,5.490387748452263,25.148544266191323,24.79946524064171,5.8181818181818175,4.565656565656565,9.595959595959597,7.333333333333334,15.595959595959595,45.733225108225106,54.93777056277056,4.0111642743221685,9.354066985645932,86.22222222222221,85.97979797979798,28.052525252525246,23.95151515151515,17.717171717171716,17.232323232323232,No
11,11,110.0,left,83_0,0,left,0,5.946562398175302,24.925727866904335,24.08645276292335,6.4646464646464645,4.989898989898989,11.474747474747472,9.515151515151516,15.595959595959595,46.76677489177489,50.029761904761905,5.231259968102074,9.098883572567782,85.0909090909091,88.7070707070707,28.220202020202013,25.141414141414142,19.313131313131315,18.787878787878785,No
12,12,120.0,left,83_0,0,left,0,6.557510589768654,24.22014260249554,22.912953060011883,8.505050505050503,5.373737373737374,13.717171717171716,10.787878787878785,15.757575757575756,44.11525974025974,49.399350649350644,6.267942583732057,9.05103668261563,81.55555555555554,89.8989898989899,28.707070707070702,26.709090909090904,24.222222222222218,19.616161616161616,No
13,13,130.0,left,83_0,0,left,0,6.858911697621374,24.27956030897207,22.83125371360665,10.181818181818183,6.14141414141414,15.535353535353533,12.909090909090908,15.797979797979798,43.33874458874459,46.86417748917749,7.862838915470494,9.912280701754385,78.46464646464648,90.04040404040404,29.769696969696977,27.16969696969697,26.767676767676768,21.27272727272727,No
14,14,140.0,left,83_0,0,left,0,7.192896709025742,24.041889483065948,22.734699940582292,10.484848484848483,6.585858585858585,18.383838383838388,14.565656565656566,16.02020202020202,40.4301948051948,45.8982683982684,10.07177033492823,11.339712918660286,79.43434343434343,89.7171717171717,30.79191919191919,28.47676767676768,28.1010101010101,23.15151515151515,No
15,15,150.0,left,83_0,0,left,0,7.583903551645486,23.819073083778964,22.920380273321445,10.585858585858585,6.92929292929293,18.222222222222225,16.24242424242424,16.1010101010101,40.930735930735935,43.43885281385281,13.564593301435407,11.626794258373208,81.59595959595958,90.56565656565657,31.94949494949495,29.2,27.41414141414141,24.3030303030303,No
16,16,160.0,left,83_0,0,left,0,7.649071358748777,23.403149138443258,22.756981580510992,11.272727272727272,7.777777777777778,17.757575757575754,16.040404040404038,15.919191919191917,44.11796536796536,42.389069264069256,16.411483253588514,11.610845295055821,79.17171717171716,91.15151515151513,30.85454545454545,29.927272727272726,28.94949494949495,23.939393939393938,No
