,Time (s),trial_num,rt,firing_rate
0,54.60187471218124,1,0.2511554257206967,2.1323529411764706
1,54.64187471218124,1,0.2511554257206967,1.9852941176470589
2,54.68187471218124,1,0.2511554257206967,6.323529411764706
3,54.72187471218124,1,0.2511554257206967,4.926470588235294
4,54.76187471218124,1,0.2511554257206967,6.176470588235294
5,54.80187471218124,1,0.2511554257206967,6.029411764705882
6,54.84187471218124,1,0.2511554257206967,1.7647058823529411
0,118.03133383971907,14,0.22569629818286785,3.088235294117647
1,118.07133383971907,14,0.22569629818286785,3.3088235294117645
2,118.11133383971908,14,0.22569629818286785,3.5294117647058822
3,118.15133383971909,14,0.22569629818286785,5.8088235294117645
4,118.19133383971909,14,0.22569629818286785,4.1911764705882355
5,118.2313338397191,14,0.22569629818286785,3.6029411764705883
0,138.39687389786548,19,0.20515624003647304,3.3823529411764706
1,138.43687389786547,19,0.20515624003647304,3.235294117647059
2,138.47687389786546,19,0.20515624003647304,6.25
3,138.51687389786545,19,0.20515624003647304,5.367647058823529
4,138.55687389786544,19,0.20515624003647304,4.485294117647059
5,138.59687389786544,19,0.20515624003647304,0.5882352941176471
0,151.99590097065243,22,0.21412916724952424,2.573529411764706
1,152.03590097065242,22,0.21412916724952424,2.0588235294117645
2,152.0759009706524,22,0.21412916724952424,3.3823529411764706
3,152.1159009706524,22,0.21412916724952424,4.264705882352941
4,152.1559009706524,22,0.21412916724952424,5.294117647058823
5,152.1959009706524,22,0.21412916724952424,1.9852941176470589
0,160.76204734533627,24,0.2529827925656605,2.7205882352941178
1,160.80204734533626,24,0.2529827925656605,3.3088235294117645
2,160.84204734533625,24,0.2529827925656605,7.132352941176471
3,160.88204734533625,24,0.2529827925656605,8.602941176470589
4,160.92204734533624,24,0.2529827925656605,9.926470588235293
5,160.96204734533623,24,0.2529827925656605,9.485294117647058
6,161.00204734533622,24,0.2529827925656605,2.0588235294117645
0,171.79503157105063,27,0.26199856685130385,4.264705882352941
1,171.83503157105062,27,0.26199856685130385,3.235294117647059
2,171.8750315710506,27,0.26199856685130385,7.132352941176471
3,171.9150315710506,27,0.26199856685130385,6.838235294117647
4,171.9550315710506,27,0.26199856685130385,5.294117647058823
5,171.9950315710506,27,0.26199856685130385,5.955882352941177
6,172.03503157105058,27,0.26199856685130385,3.3088235294117645
0,216.40977653570323,37,0.20125360219870458,2.7205882352941178
1,216.44977653570322,37,0.20125360219870458,2.8676470588235294
2,216.48977653570321,37,0.20125360219870458,3.6029411764705883
3,216.5297765357032,37,0.20125360219870458,5.735294117647059
4,216.5697765357032,37,0.20125360219870458,5.147058823529412
5,216.6097765357032,37,0.20125360219870458,0.07352941176470588
0,220.24264053580455,38,0.21938960209737957,3.75
1,220.28264053580455,38,0.21938960209737957,5.367647058823529
2,220.32264053580454,38,0.21938960209737957,5.367647058823529
3,220.36264053580453,38,0.21938960209737957,5.0
4,220.40264053580452,38,0.21938960209737957,5.073529411764706
5,220.44264053580451,38,0.21938960209737957,2.3529411764705883
0,224.29230815603268,39,0.24372198186927108,2.2794117647058822
1,224.33230815603267,39,0.24372198186927108,2.573529411764706
2,224.37230815603266,39,0.24372198186927108,3.014705882352941
3,224.41230815603265,39,0.24372198186927108,5.220588235294118
4,224.45230815603264,39,0.24372198186927108,3.75
5,224.49230815603264,39,0.24372198186927108,3.235294117647059
6,224.53230815603263,39,0.24372198186927108,0.4411764705882353
0,242.19100702354822,42,0.27202311435371485,3.3088235294117645
1,242.23100702354822,42,0.27202311435371485,3.014705882352941
2,242.2710070235482,42,0.27202311435371485,4.779411764705882
3,242.3110070235482,42,0.27202311435371485,7.5
4,242.3510070235482,42,0.27202311435371485,5.4411764705882355
5,242.39100702354818,42,0.27202311435371485,3.235294117647059
6,242.43100702354818,42,0.27202311435371485,3.6029411764705883
0,282.6724829720198,51,0.20154716588217525,3.3088235294117645
1,282.7124829720198,51,0.20154716588217525,3.3823529411764706
2,282.75248297201983,51,0.20154716588217525,4.485294117647059
3,282.79248297201985,51,0.20154716588217525,5.955882352941177
4,282.8324829720199,51,0.20154716588217525,5.735294117647059
5,282.8724829720199,51,0.20154716588217525,0.22058823529411764
0,291.0714232151974,53,0.4506069227045373,2.5
1,291.1114232151974,53,0.4506069227045373,2.6470588235294117
2,291.15142321519744,53,0.4506069227045373,3.8970588235294117
3,291.19142321519746,53,0.4506069227045373,5.955882352941177
4,291.2314232151975,53,0.4506069227045373,2.8676470588235294
5,291.2714232151975,53,0.4506069227045373,3.3823529411764706
6,291.3114232151975,53,0.4506069227045373,3.75
7,291.35142321519754,53,0.4506069227045373,3.9705882352941178
8,291.39142321519756,53,0.4506069227045373,6.102941176470588
9,291.4314232151976,53,0.4506069227045373,6.25
10,291.4714232151976,53,0.4506069227045373,7.9411764705882355
11,291.5114232151976,53,0.4506069227045373,1.9852941176470589
0,299.5551648743655,55,0.40586526353644103,1.911764705882353
1,299.59516487436554,55,0.40586526353644103,2.573529411764706
2,299.63516487436556,55,0.40586526353644103,4.705882352941177
3,299.6751648743656,55,0.40586526353644103,5.073529411764706
4,299.7151648743656,55,0.40586526353644103,5.367647058823529
5,299.7551648743656,55,0.40586526353644103,5.955882352941177
6,299.79516487436564,55,0.40586526353644103,5.735294117647059
7,299.83516487436566,55,0.40586526353644103,5.735294117647059
8,299.8751648743657,55,0.40586526353644103,6.544117647058823
9,299.9151648743657,55,0.40586526353644103,6.470588235294118
10,299.9551648743657,55,0.40586526353644103,1.1029411764705883
0,331.41929693281594,62,0.32873320508605275,2.6470588235294117
1,331.45929693281596,62,0.32873320508605275,2.9411764705882355
2,331.499296932816,62,0.32873320508605275,5.735294117647059
3,331.539296932816,62,0.32873320508605275,6.397058823529412
4,331.579296932816,62,0.32873320508605275,4.5588235294117645
5,331.61929693281604,62,0.32873320508605275,5.514705882352941
6,331.65929693281606,62,0.32873320508605275,6.6911764705882355
7,331.6992969328161,62,0.32873320508605275,8.014705882352942
8,331.7392969328161,62,0.32873320508605275,1.6176470588235294
0,390.3498809393832,74,0.5051491985187795,3.014705882352941
1,390.3898809393832,74,0.5051491985187795,2.8676470588235294
2,390.4298809393832,74,0.5051491985187795,5.661764705882353
3,390.46988093938324,74,0.5051491985187795,5.220588235294118
4,390.50988093938327,74,0.5051491985187795,4.117647058823529
5,390.5498809393833,74,0.5051491985187795,5.4411764705882355
6,390.5898809393833,74,0.5051491985187795,5.073529411764706
7,390.6298809393833,74,0.5051491985187795,6.617647058823529
8,390.66988093938335,74,0.5051491985187795,7.132352941176471
9,390.70988093938337,74,0.5051491985187795,5.367647058823529
10,390.7498809393834,74,0.5051491985187795,5.8088235294117645
11,390.7898809393834,74,0.5051491985187795,7.573529411764706
12,390.82988093938343,74,0.5051491985187795,5.4411764705882355
0,398.71562062818714,76,0.27240950971480515,2.573529411764706
1,398.75562062818716,76,0.27240950971480515,2.2794117647058822
2,398.7956206281872,76,0.27240950971480515,5.073529411764706
3,398.8356206281872,76,0.27240950971480515,3.676470588235294
4,398.8756206281872,76,0.27240950971480515,5.220588235294118
5,398.91562062818724,76,0.27240950971480515,6.323529411764706
6,398.95562062818726,76,0.27240950971480515,4.926470588235294
0,402.4324826913202,77,0.25054744658177697,3.676470588235294
1,402.47248269132024,77,0.25054744658177697,3.823529411764706
2,402.51248269132026,77,0.25054744658177697,5.735294117647059
3,402.5524826913203,77,0.25054744658177697,5.073529411764706
4,402.5924826913203,77,0.25054744658177697,5.073529411764706
5,402.6324826913203,77,0.25054744658177697,5.294117647058823
6,402.67248269132034,77,0.25054744658177697,1.6911764705882353
