,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,277_0,0,left,0,0.6272401433691757,0.0,0.0,3.4747474747474745,2.282828282828282,4.646464646464646,4.707070707070706,6.484848484848484,52.821969696969695,52.92748917748918,11.411483253588516,6.961722488038277,84.08080808080807,89.29292929292927,24.87878787878788,24.91111111111111,2.424242424242424,1.6363636363636365,No
1,1,10.0,right,277_0,0,left,0,0.7249918540241121,0.0,0.0,3.8585858585858586,2.2020202020202015,4.909090909090907,4.909090909090908,6.2020202020202015,52.521645021645014,52.88419913419912,12.48006379585327,5.717703349282297,83.23232323232322,90.36363636363636,24.416161616161617,25.250505050505048,2.686868686868687,1.8181818181818181,No
2,2,20.0,right,277_0,0,left,0,0.7494297816878461,0.037136066547831255,0.06684491978609626,4.181818181818182,1.9797979797979794,4.343434343434343,4.242424242424241,6.404040404040404,52.35930735930736,54.2965367965368,12.814992025518341,5.478468899521531,82.70707070707071,91.55555555555556,24.983838383838382,24.33333333333333,2.7272727272727275,1.7575757575757578,No
3,3,30.0,right,277_0,0,left,0,0.8634734441186054,1.1066547831253712,1.4185977421271536,3.7373737373737375,2.0,3.8585858585858586,4.90909090909091,6.707070707070707,55.31926406926407,51.14448051948052,12.559808612440191,5.709728867623604,82.94949494949493,92.52525252525253,24.85252525252525,24.915151515151514,2.6666666666666665,1.797979797979798,No
4,4,40.0,right,277_0,0,left,0,0.944933202997719,4.5083184789067134,5.236185383244207,2.9696969696969693,1.8181818181818186,2.9696969696969693,4.8888888888888875,7.797979797979798,58.276515151515135,49.46699134199134,12.001594896331738,5.9489633173843695,83.07070707070706,94.4040404040404,23.741414141414143,26.0,2.5050505050505047,2.1010101010101008,No
5,5,50.0,right,277_0,0,left,0,1.3522319973932875,9.298871063576946,9.573677956030897,2.9898989898989896,1.7373737373737377,3.171717171717172,4.444444444444444,9.272727272727272,55.8116883116883,51.98863636363637,10.685805422647526,6.140350877192983,85.55555555555556,91.31313131313131,22.995959595959594,25.143434343434343,4.444444444444444,3.4141414141414135,No
6,6,60.0,right,277_0,0,left,0,2.0202020202020203,13.569518716577539,13.361556743909686,2.9494949494949494,1.818181818181818,3.6767676767676765,3.777777777777778,10.505050505050505,52.824675324675326,54.908008658008654,9.768740031897927,6.323763955342903,88.08080808080808,87.05050505050504,24.197979797979794,23.927272727272726,6.323232323232322,6.606060606060606,No
7,7,70.0,right,277_0,0,left,0,2.932551319648094,18.389780154486036,17.78817587641117,2.9494949494949494,3.0505050505050506,3.8181818181818183,3.8585858585858586,12.565656565656566,52.49999999999999,54.95670995670996,9.601275917065392,6.251993620414674,87.77777777777777,83.17171717171718,25.038383838383837,23.410101010101013,9.03030303030303,10.848484848484846,No
8,8,80.0,right,277_0,0,left,0,3.828608667318345,21.895424836601304,22.177658942364825,3.959595959595959,5.393939393939394,3.696969696969697,4.585858585858586,13.919191919191919,55.09469696969697,51.98863636363637,10.462519936204146,6.507177033492823,83.17171717171719,77.91919191919193,24.074747474747472,24.618181818181814,13.373737373737372,15.818181818181818,No
9,9,90.0,right,277_0,0,left,0,4.732811990876507,24.561794414735587,24.851455733808674,4.888888888888889,7.030303030303031,5.292929292929293,6.767676767676767,15.373737373737374,53.57413419913419,49.780844155844164,11.507177033492821,8.500797448165867,79.41414141414143,74.58585858585857,23.953535353535354,26.05454545454545,19.87878787878788,22.12121212121212,No
