session,matching_seed,repetition,pipeline_success,pattern_pass,chan_dom_L_min,chan_dom_L_mean,chan_dom_R_min,chan_dom_R_mean,late_L_d_minus_i,late_L_i_minus_dR,late_R_d_minus_i,late_R_i_minus_dL,min_required_margin,error
Hench_2017-06-18,2,0,True,False,,,,,,,,,,
Hench_2017-06-18,2,1,True,False,,,,,,,,,,
Hench_2017-06-18,2,2,True,False,,,,,,,,,,
Hench_2017-06-18,2,3,True,False,,,,,,,,,,
Hench_2017-06-18,2,4,True,False,1.5153938514116116,2.014242031610179,1.341066735344286,2.0142420316101792,-0.24857127493387898,0.19598472991451446,-0.36901447376607854,-0.6133866320378276,-0.6133866320378276,
Hench_2017-06-18,2,5,True,False,1.4270330515766767,2.343501416695536,2.0839920767506532,2.3435014166955352,0.38884274660091434,0.1115997917764415,-0.1492587198537656,0.33245069144823924,-0.1492587198537656,
Hench_2017-06-18,2,6,True,False,2.3292348000049894,2.552817946689563,2.0475687523580883,2.552817946689562,-0.28384484559580003,-0.04769456821473543,-0.026603775681920627,0.3450320241265583,-0.28384484559580003,
Hench_2017-06-18,2,7,True,False,,,,,,,,,,
Hench_2017-06-18,2,8,True,False,0.9183444482765413,1.795768203767417,1.2371219599124905,1.795768203767416,-0.37640473241616346,-0.15114918703107919,-0.13062740986400834,-0.033692146033456605,-0.37640473241616346,
Hench_2017-06-18,2,9,True,False,,,,,,,,,,
Hench_2017-06-18,2,10,True,False,,,,,,,,,,
Hench_2017-06-18,2,11,True,False,2.047576375393317,2.5785472657023196,1.6743510410740345,2.5785472657023174,-0.45716573063591426,-0.01362562115386906,0.2526939907383866,-0.03451794684654183,-0.45716573063591426,
Hench_2017-06-18,2,12,True,False,1.6093009931447237,2.1612158644140336,1.7423561795014422,2.1612158644140362,0.17218705841086712,-0.3077000903217848,0.17350250596455807,-0.582612525590253,-0.582612525590253,
Hench_2017-06-18,2,13,True,False,1.2780436305170606,2.1717686223772703,1.8738301601305547,2.171768622377268,0.2704453884109743,-0.09276383614869592,-0.0025252677107763244,-0.4668845422450334,-0.4668845422450334,
Hench_2017-06-18,2,14,True,False,,,,,,,,,,
Hench_2017-06-18,2,15,True,False,,,,,,,,,,
Hench_2017-06-18,2,16,True,False,1.4653539818590229,1.8497475829400492,0.7575689566521611,1.8497475829400496,-0.37986919649998785,-0.07512825296759457,-0.03894190730186686,-0.48710638857270505,-0.48710638857270505,
Hench_2017-06-18,2,17,True,False,1.0596629184391784,2.046545981410277,1.461999617787381,2.0465459814102767,-0.05833667974343926,0.7031760202146706,-0.09426025030707541,0.062478891111486995,-0.09426025030707541,
Hench_2017-06-18,2,18,True,False,0.7703307659854525,1.7605227079977526,1.0982283914027042,1.7605227079977512,-0.11801840639482108,-0.20908956448650035,-0.1969970336866691,-0.6937202904917372,-0.6937202904917372,
Hench_2017-06-18,2,19,True,False,1.451067426467433,2.1605749046059075,1.450304299014434,2.16057490460591,0.3390651245495838,0.20486522503581114,-0.07757273831536016,0.2312662463914732,-0.07757273831536016,
Hench_2017-06-18,2,20,True,False,,,,,,,,,,
Hench_2017-06-18,2,21,True,False,1.1107749565300682,1.8933484382501937,1.6931699153115818,1.893348438250193,-0.30592639655483367,-0.561981479694066,-0.3887000692480508,-0.4721337567114577,-0.561981479694066,
Hench_2017-06-18,2,22,True,False,0.6535697572890167,2.1914094882486137,1.9491637650252573,2.1914094882486137,-0.1427884594548794,0.028381345952195547,-0.40250708316683925,-0.8315627203109257,-0.8315627203109257,
Hench_2017-06-18,2,23,True,False,1.3991566030759603,2.0159844121282218,1.878705106368568,2.0159844121282213,-0.09930187730498685,-0.17059268319876172,0.15138869117475595,1.3624733778519276,-0.17059268319876172,
Hench_2017-06-18,2,24,True,False,,,,,,,,,,
Hench_2017-06-18,2,25,True,False,1.2973354278224534,1.8455693919362286,0.49449827163834714,1.8455693919362293,-0.16198367046901163,0.04182319636069187,0.03926078804412847,0.30109014999582384,-0.16198367046901163,
Hench_2017-06-18,2,26,True,False,,,,,,,,,,
Hench_2017-06-18,2,27,True,False,2.4047507109422286,2.674084498475562,2.333748652470645,2.674084498475562,-0.49624183674660793,0.3679190119487539,-0.0924987441388716,-0.08984876119578522,-0.49624183674660793,
Hench_2017-06-18,2,28,True,False,,,,,,,,,,
