session,trial_id,choice_left,decision_time_ms,signed_contrast,evidence_magnitude,matching_seed
Hench_2017-06-18,173,0,195.74486725514362,0.25,0.25,2
Hench_2017-06-18,174,0,182.5161486486877,0.25,0.25,2
Hench_2017-06-18,175,1,199.68608443923586,-1.0,1.0,2
Hench_2017-06-18,176,0,151.45932137988893,0.0,0.0,2
Hench_2017-06-18,181,0,158.4395225369235,1.0,1.0,2
Hench_2017-06-18,183,0,186.77841634485048,1.0,1.0,2
Hench_2017-06-18,184,1,171.92954163431295,-1.0,1.0,2
Hench_2017-06-18,185,1,159.01992856095148,-1.0,1.0,2
Hench_2017-06-18,188,1,177.26067252647226,-0.75,0.75,2
Hench_2017-06-18,191,1,189.32060879012624,-0.75,0.75,2
Hench_2017-06-18,194,1,179.60071978211545,-0.5,0.5,2
Hench_2017-06-18,195,1,254.5564871680881,-0.5,0.5,2
Hench_2017-06-18,200,1,184.5440681876198,-0.5,0.5,2
Hench_2017-06-18,201,0,192.91013013253178,0.0,0.0,2
Hench_2017-06-18,202,1,174.47578699989208,-1.0,1.0,2
Hench_2017-06-18,203,0,188.43893424832459,0.0,0.0,2
Hench_2017-06-18,205,1,335.1628867446834,-1.0,1.0,2
Hench_2017-06-18,207,0,157.68219248866444,0.5,0.5,2
Hench_2017-06-18,209,1,135.3974148639736,-0.5,0.5,2
Hench_2017-06-18,210,1,189.36696420132648,-0.75,0.75,2
Hench_2017-06-18,212,0,224.67112376693876,0.5,0.5,2
Hench_2017-06-18,214,1,242.38713767329045,-1.0,1.0,2
Hench_2017-06-18,215,1,159.15066671902878,-1.0,1.0,2
Hench_2017-06-18,216,1,154.9211798617307,0.0,0.0,2
Hench_2017-06-18,218,0,248.83194638312034,0.5,0.5,2
Hench_2017-06-18,220,0,370.16676613438904,0.75,0.75,2
Hench_2017-06-18,221,1,171.93669726896132,-0.5,0.5,2
Hench_2017-06-18,223,1,139.07113056689013,-0.25,0.25,2
Hench_2017-06-18,224,0,223.24241661624455,0.5,0.5,2
Hench_2017-06-18,225,0,178.80963326535948,0.0,0.0,2
Hench_2017-06-18,226,1,206.57684060211068,-1.0,1.0,2
Hench_2017-06-18,229,0,196.82882896370302,1.0,1.0,2
Hench_2017-06-18,236,1,173.50641976850056,0.0,0.0,2
Hench_2017-06-18,241,0,213.30099419697035,0.75,0.75,2
Hench_2017-06-18,242,1,168.06743328311313,-0.25,0.25,2
Hench_2017-06-18,243,0,218.42786138995507,0.5,0.5,2
Hench_2017-06-18,250,0,205.72775008827193,0.0,0.0,2
Hench_2017-06-18,252,0,163.06354761320563,1.0,1.0,2
Hench_2017-06-18,253,0,200.63560656922164,0.25,0.25,2
Hench_2017-06-18,258,1,173.82746185603537,-1.0,1.0,2
Hench_2017-06-18,259,1,193.38885842444142,-0.25,0.25,2
Hench_2017-06-18,260,1,183.72619245064925,-0.75,0.75,2
Hench_2017-06-18,264,0,180.17547098247633,1.0,1.0,2
Hench_2017-06-18,265,1,207.94598412521736,-0.5,0.5,2
Hench_2017-06-18,267,1,318.41716944109066,0.0,0.0,2
Hench_2017-06-18,271,0,248.68196198031,0.5,0.5,2
Hench_2017-06-18,273,1,271.00630558629746,-0.5,0.5,2
Hench_2017-06-18,274,0,215.56944817871226,0.75,0.75,2
Hench_2017-06-18,275,0,166.1302627387613,0.0,0.0,2
Hench_2017-06-18,278,0,271.99195433922796,0.5,0.5,2
Hench_2017-06-18,284,1,179.34985760257405,-0.75,0.75,2
Hench_2017-06-18,288,1,199.58438572166415,-0.25,0.25,2
Hench_2017-06-18,289,0,230.35257083211036,0.75,0.75,2
Hench_2017-06-18,291,0,262.66837055959513,0.75,0.75,2
Hench_2017-06-18,292,0,178.42298324126205,0.75,0.75,2
Hench_2017-06-18,298,0,155.34170106502643,0.75,0.75,2
Hench_2017-06-18,300,1,205.66972296205677,0.0,0.0,2
Hench_2017-06-18,311,0,230.78222833942164,1.0,1.0,2
Hench_2017-06-18,312,1,151.34944498822733,-0.5,0.5,2
Hench_2017-06-18,313,1,195.11511582390995,0.25,0.25,2
Hench_2017-06-18,317,1,237.14751146530944,0.5,0.5,2
Hench_2017-06-18,321,0,177.3583634960687,0.75,0.75,2
Hench_2017-06-18,327,1,318.4925999828465,0.75,0.75,2
Hench_2017-06-18,333,0,240.97602018082398,1.0,1.0,2
Lederberg_2017-12-11,0,1,192.9822268882262,-0.5,0.5,4
Lederberg_2017-12-11,3,1,168.36481152813576,-0.25,0.25,4
Lederberg_2017-12-11,4,0,143.28989774628553,0.0,0.0,4
Lederberg_2017-12-11,7,1,337.66581300770326,0.0,0.0,4
Lederberg_2017-12-11,10,1,207.11878800284467,-0.5,0.5,4
Lederberg_2017-12-11,11,1,156.39369723675145,-1.0,1.0,4
Lederberg_2017-12-11,17,1,137.16175300623945,-1.0,1.0,4
Lederberg_2017-12-11,18,0,212.45077474591767,0.25,0.25,4
Lederberg_2017-12-11,19,1,176.9785691480763,-0.5,0.5,4
Lederberg_2017-12-11,21,0,222.79590887015388,0.25,0.25,4
Lederberg_2017-12-11,22,0,337.05355991679653,0.5,0.5,4
Lederberg_2017-12-11,25,0,149.6225249687484,0.25,0.25,4
Lederberg_2017-12-11,26,1,182.64589478567927,-0.75,0.75,4
Lederberg_2017-12-11,27,1,206.34509564055747,0.0,0.0,4
Lederberg_2017-12-11,29,1,152.41182546347432,-0.75,0.75,4
Lederberg_2017-12-11,30,1,136.35391524573492,-1.0,1.0,4
Lederberg_2017-12-11,33,1,149.20035873726079,-1.0,1.0,4
Lederberg_2017-12-11,36,1,139.76672193882678,-0.75,0.75,4
Lederberg_2017-12-11,37,1,152.58264726978155,0.25,0.25,4
Lederberg_2017-12-11,38,1,186.89681122287993,-0.75,0.75,4
Lederberg_2017-12-11,41,0,134.66093354568898,1.0,1.0,4
Lederberg_2017-12-11,42,1,254.5653852620262,-0.25,0.25,4
Lederberg_2017-12-11,43,1,157.10044176458382,0.0,0.0,4
Lederberg_2017-12-11,45,0,171.00046142260794,0.75,0.75,4
Lederberg_2017-12-11,46,1,179.1829839185084,-0.5,0.5,4
Lederberg_2017-12-11,47,0,159.91579065484984,1.0,1.0,4
Lederberg_2017-12-11,48,0,169.93193349352964,0.25,0.25,4
Lederberg_2017-12-11,49,0,154.15219381409884,0.75,0.75,4
Lederberg_2017-12-11,50,1,153.69303590355798,-1.0,1.0,4
Lederberg_2017-12-11,51,1,157.78788423338597,-1.0,1.0,4
Lederberg_2017-12-11,52,0,163.33301682522006,0.25,0.25,4
Lederberg_2017-12-11,56,1,136.3949053315423,-0.5,0.5,4
Lederberg_2017-12-11,59,1,155.18182934977176,-0.5,0.5,4
Lederberg_2017-12-11,60,1,162.53507165686187,-1.0,1.0,4
Lederberg_2017-12-11,61,0,161.90969246048326,0.5,0.5,4
Lederberg_2017-12-11,62,0,183.7211241456771,1.0,1.0,4
Lederberg_2017-12-11,67,1,126.50092444755501,-1.0,1.0,4
Lederberg_2017-12-11,73,1,172.7826699684556,-1.0,1.0,4
Lederberg_2017-12-11,75,1,185.76509686602094,0.5,0.5,4
Lederberg_2017-12-11,76,0,215.60627019516687,0.25,0.25,4
Lederberg_2017-12-11,77,0,169.76975051795762,0.25,0.25,4
Lederberg_2017-12-11,78,0,188.7826350671844,0.0,0.0,4
Lederberg_2017-12-11,83,1,187.46024447568743,0.0,0.0,4
Lederberg_2017-12-11,86,0,201.9201453080086,0.5,0.5,4
Lederberg_2017-12-11,87,1,150.04016449216806,-0.25,0.25,4
Lederberg_2017-12-11,88,1,188.25298363429965,-0.25,0.25,4
Lederberg_2017-12-11,90,1,215.0964162906348,0.0,0.0,4
Lederberg_2017-12-11,93,0,174.29196538279257,0.25,0.25,4
Lederberg_2017-12-11,94,0,134.58023336482938,0.75,0.75,4
Lederberg_2017-12-11,95,1,140.58501121900235,-0.75,0.75,4
Lederberg_2017-12-11,98,0,177.8489137347492,0.0,0.0,4
Lederberg_2017-12-11,99,1,167.56482974483333,-0.75,0.75,4
Lederberg_2017-12-11,100,0,148.30425148483073,0.25,0.25,4
Lederberg_2017-12-11,101,1,173.0935275023171,-0.5,0.5,4
Lederberg_2017-12-11,105,0,131.70259960935482,1.0,1.0,4
Lederberg_2017-12-11,106,0,146.4258110106016,1.0,1.0,4
Lederberg_2017-12-11,110,0,144.44670817204042,0.75,0.75,4
Lederberg_2017-12-11,112,1,143.43914488438259,-0.5,0.5,4
Lederberg_2017-12-11,113,0,145.00791801032165,0.5,0.5,4
Lederberg_2017-12-11,116,0,132.07905212550486,0.0,0.0,4
Lederberg_2017-12-11,117,1,191.63930274282848,-1.0,1.0,4
Lederberg_2017-12-11,121,1,170.7925678548463,-0.75,0.75,4
Lederberg_2017-12-11,124,1,268.39161832481295,-0.25,0.25,4
Lederberg_2017-12-11,127,1,150.85831430474173,-0.75,0.75,4
Lederberg_2017-12-11,129,0,176.10009547604477,0.75,0.75,4
Lederberg_2017-12-11,130,0,187.99631900219538,1.0,1.0,4
Lederberg_2017-12-11,135,0,148.81902807383085,0.75,0.75,4
Lederberg_2017-12-11,136,1,142.66572420990542,0.0,0.0,4
Lederberg_2017-12-11,139,1,184.54197306596143,-0.5,0.5,4
Lederberg_2017-12-11,143,1,209.4677712811972,-0.5,0.5,4
Lederberg_2017-12-11,145,1,178.45423265282534,-0.25,0.25,4
Lederberg_2017-12-11,146,0,263.64051062955696,1.0,1.0,4
Lederberg_2017-12-11,147,0,158.02909860951786,0.75,0.75,4
Lederberg_2017-12-11,149,1,156.91896300984354,-0.25,0.25,4
Lederberg_2017-12-11,151,0,181.6096192361556,0.75,0.75,4
Lederberg_2017-12-11,157,0,218.89113976692443,0.0,0.0,4
Lederberg_2017-12-11,161,0,185.24034763368036,0.5,0.5,4
Lederberg_2017-12-11,163,1,245.51837215392425,-0.25,0.25,4
Lederberg_2017-12-11,165,0,186.85830810318294,0.5,0.5,4
Lederberg_2017-12-11,166,0,244.32894265260074,0.5,0.5,4
Lederberg_2017-12-11,167,1,156.76686388360395,-0.5,0.5,4
Lederberg_2017-12-11,168,1,208.0183515132603,-0.25,0.25,4
Lederberg_2017-12-11,170,0,239.0849692236543,0.0,0.0,4
Lederberg_2017-12-11,171,0,173.41597707536494,-0.5,0.5,4
Lederberg_2017-12-11,172,1,332.0161491884619,-0.25,0.25,4
Lederberg_2017-12-11,176,0,174.86715805432596,-0.5,0.5,4
Lederberg_2017-12-11,177,1,173.25206453188002,-0.5,0.5,4
Lederberg_2017-12-11,178,1,194.6777870555252,-0.75,0.75,4
Lederberg_2017-12-11,179,0,171.09846558400932,1.0,1.0,4
Lederberg_2017-12-11,182,0,134.47461518057935,1.0,1.0,4
Lederberg_2017-12-11,184,0,173.77005701939652,1.0,1.0,4
Lederberg_2017-12-11,187,1,169.13795279958777,-0.25,0.25,4
Lederberg_2017-12-11,188,1,167.1075341608912,-0.5,0.5,4
Lederberg_2017-12-11,192,1,174.5118815775868,-0.5,0.5,4
Lederberg_2017-12-11,193,1,197.97281832586577,-0.5,0.5,4
Lederberg_2017-12-11,194,0,175.14911104808562,0.75,0.75,4
Lederberg_2017-12-11,196,0,176.83437965274607,0.75,0.75,4
Lederberg_2017-12-11,198,1,185.34973204862126,0.0,0.0,4
Lederberg_2017-12-11,199,0,195.88943484359334,0.0,0.0,4
Lederberg_2017-12-11,202,1,242.59198432423545,-0.5,0.5,4
Lederberg_2017-12-11,205,0,156.07030933142596,1.0,1.0,4
Lederberg_2017-12-11,207,1,174.39792145603406,-0.5,0.5,4
Lederberg_2017-12-11,210,1,215.9985152519539,-1.0,1.0,4
Lederberg_2017-12-11,212,0,181.7350920358649,0.5,0.5,4
Lederberg_2017-12-11,213,1,177.48007059867632,-0.5,0.5,4
Lederberg_2017-12-11,216,0,148.04619492679194,0.75,0.75,4
Lederberg_2017-12-11,217,0,308.60560731980513,0.0,0.0,4
Lederberg_2017-12-11,218,0,172.20356567338513,0.5,0.5,4
Lederberg_2017-12-11,219,0,211.86390393847887,0.75,0.75,4
Lederberg_2017-12-11,220,0,222.85343090811693,0.75,0.75,4
Lederberg_2017-12-11,221,0,176.754349886437,0.5,0.5,4
Lederberg_2017-12-11,222,0,171.5692104360187,0.5,0.5,4
Lederberg_2017-12-11,224,0,128.9288089284355,0.5,0.5,4
Lederberg_2017-12-11,226,0,236.50247877230868,-0.5,0.5,4
Lederberg_2017-12-11,227,1,335.79312613142065,0.25,0.25,4
Lederberg_2017-12-11,229,0,195.10925257918643,0.25,0.25,4
Lederberg_2017-12-11,231,1,326.15196224332976,-1.0,1.0,4
Lederberg_2017-12-11,232,0,177.2665236777584,1.0,1.0,4
Lederberg_2017-12-11,236,0,374.3042605434539,0.25,0.25,4
Lederberg_2017-12-11,237,0,145.75414321438984,0.75,0.75,4
Lederberg_2017-12-11,240,0,180.7134602165661,0.5,0.5,4
Lederberg_2017-12-11,241,0,187.3567425956253,1.0,1.0,4
Lederberg_2017-12-11,243,1,204.28907714665456,-0.75,0.75,4
Lederberg_2017-12-11,244,0,263.0839881603606,0.75,0.75,4
Lederberg_2017-12-11,248,0,184.20754938426853,0.75,0.75,4
Lederberg_2017-12-11,249,1,235.34506470866745,-1.0,1.0,4
Lederberg_2017-12-11,250,0,164.43812622901532,1.0,1.0,4
Lederberg_2017-12-11,251,1,164.07843388446963,-0.5,0.5,4
Lederberg_2017-12-11,252,1,167.90879162647343,-0.5,0.5,4
Lederberg_2017-12-11,253,1,195.19712291094038,-0.25,0.25,4
Lederberg_2017-12-11,258,1,230.4173159182028,-0.75,0.75,4
Lederberg_2017-12-11,260,1,178.27798029679798,-0.5,0.5,4
Lederberg_2017-12-11,261,1,178.61509345311788,-0.5,0.5,4
Lederberg_2017-12-11,262,1,158.92306527416622,-1.0,1.0,4
Lederberg_2017-12-11,263,0,160.80306595472393,0.75,0.75,4
Lederberg_2017-12-11,264,0,176.36326234696753,1.0,1.0,4
Lederberg_2017-12-11,265,1,232.13469787037866,-1.0,1.0,4
Lederberg_2017-12-11,266,0,270.17572925751665,0.25,0.25,4
Lederberg_2017-12-11,268,1,176.03330847509824,-1.0,1.0,4
Lederberg_2017-12-11,269,0,142.16359853890026,1.0,1.0,4
Lederberg_2017-12-11,271,1,163.71992462495655,-1.0,1.0,4
Lederberg_2017-12-11,272,0,174.57674314618998,0.5,0.5,4
Lederberg_2017-12-11,273,1,185.53706101624812,-0.75,0.75,4
Lederberg_2017-12-11,281,0,304.60024851936396,0.0,0.0,4
