session,speed,n_trials,decision_time_cutoff_ms,spn_i,spn_j,pearson_r
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,dSPN_right,1.0
Lederberg_2017-12-11,slow,74,176.9785691480763,dSPN_right,iSPN_right,0.20941996679850547
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_right,iSPN_left,-0.04165152074529279
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_right,dSPN_left,-0.11449451577008304
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_right,dSPN_right,0.20941996679850547
Lederberg_2017-12-11,slow,74,176.9785691480763,iSPN_right,iSPN_right,1.0
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_left,dSPN_left,1.0
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_left,iSPN_left,0.07236776660595391
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_left,iSPN_right,0.08024418604899998
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_left,dSPN_right,0.30178585202884717
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_left,dSPN_left,0.07236776660595391
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_left,iSPN_left,1.0
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_left,iSPN_right,-0.04327029130072029
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_left,dSPN_right,0.2712228659830429
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_right,dSPN_left,0.080244186049
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_right,iSPN_left,-0.04327029130072029
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_right,iSPN_right,1.0
Radnitz_2017-01-12,fast,12,163.16135883737815,iSPN_right,dSPN_right,-0.029189419536948927
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_right,dSPN_left,0.30178585202884717
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_right,iSPN_left,0.27122286598304296
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_right,iSPN_right,-0.029189419536948924
Radnitz_2017-01-12,fast,12,163.16135883737815,dSPN_right,dSPN_right,1.0
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_left,dSPN_left,1.0
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_left,iSPN_left,0.155436826149233
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_left,iSPN_right,0.18894441893339847
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_left,dSPN_right,0.17765998804627525
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_left,dSPN_left,0.155436826149233
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_left,iSPN_left,1.0
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_left,iSPN_right,0.308965813161727
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_left,dSPN_right,0.5591261010661932
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_right,dSPN_left,0.18894441893339847
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_right,iSPN_left,0.30896581316172694
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_right,iSPN_right,1.0
Radnitz_2017-01-12,slow,12,218.56105789979097,iSPN_right,dSPN_right,0.6121749580140342
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_right,dSPN_left,0.17765998804627525
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_right,iSPN_left,0.5591261010661932
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_right,iSPN_right,0.6121749580140343
Radnitz_2017-01-12,slow,12,218.56105789979097,dSPN_right,dSPN_right,1.0
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_left,iSPN_left,1.0
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_left,dSPN_left,-0.21013981921918318
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_left,iSPN_right,0.13795650767511874
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_left,dSPN_right,0.07272054871766896
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_left,iSPN_left,-0.21013981921918318
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_left,dSPN_left,1.0
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_left,iSPN_right,-0.03906803425152033
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_left,dSPN_right,0.10573997059306568
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_right,iSPN_left,0.13795650767511872
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_right,dSPN_left,-0.03906803425152033
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_right,iSPN_right,1.0
Richards_2017-11-01,fast,34,144.4313856026156,iSPN_right,dSPN_right,0.04390607557355397
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_right,iSPN_left,0.07272054871766896
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_right,dSPN_left,0.10573997059306567
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_right,iSPN_right,0.04390607557355398
Richards_2017-11-01,fast,34,144.4313856026156,dSPN_right,dSPN_right,1.0
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_left,iSPN_left,1.0
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_left,dSPN_left,-0.0004910498203286528
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_left,iSPN_right,0.09220168042054122
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_left,dSPN_right,0.09118059643186184
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_left,iSPN_left,-0.0004910498203286528
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_left,dSPN_left,1.0
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_left,iSPN_right,-0.014871883471029407
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_left,dSPN_right,-0.08733921762409572
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_right,iSPN_left,0.09220168042054122
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_right,dSPN_left,-0.014871883471029407
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_right,iSPN_right,1.0
Richards_2017-11-01,slow,34,233.59211235481325,iSPN_right,dSPN_right,0.06322016125979184
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_right,iSPN_left,0.09118059643186184
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_right,dSPN_left,-0.08733921762409572
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_right,iSPN_right,0.06322016125979185
Richards_2017-11-01,slow,34,233.59211235481325,dSPN_right,dSPN_right,1.0
