session,speed,n_trials,decision_time_cutoff_ms,spn_i,spn_j,pearson_r
zadorlab | CSH_ZAD_026 | 2020-08-17,fast,128,80.04567946727548,dSPN_right,dSPN_right,1.0
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_left,iSPN_left,1.0
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_left,dSPN_left,-0.007499310113878132
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_left,iSPN_right,0.14985007592021288
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_left,dSPN_right,-0.030213584288278163
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_left,iSPN_left,-0.007499310113878132
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_left,dSPN_left,1.0
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_left,iSPN_right,0.09492842738618221
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_left,dSPN_right,-0.03705696451708113
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_right,iSPN_left,0.1498500759202129
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_right,dSPN_left,0.09492842738618222
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_right,iSPN_right,1.0
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,iSPN_right,dSPN_right,-0.0024136012505252546
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_right,iSPN_left,-0.030213584288278163
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_right,dSPN_left,-0.03705696451708113
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_right,iSPN_right,-0.002413601250525254
zadorlab | CSH_ZAD_026 | 2020-08-17,slow,128,216.16954333876492,dSPN_right,dSPN_right,1.0
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_left,iSPN_left,1.0
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_left,dSPN_left,0.11856447171881579
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_left,dSPN_right,0.06578514583554984
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_left,iSPN_right,0.133533112973511
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_left,iSPN_left,0.11856447171881579
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_left,dSPN_left,1.0
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_left,dSPN_right,-0.1097316265593972
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_left,iSPN_right,-0.038793454033734416
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_right,iSPN_left,0.06578514583554984
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_right,dSPN_left,-0.1097316265593972
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_right,dSPN_right,1.0
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,dSPN_right,iSPN_right,0.09436939492648619
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_right,iSPN_left,0.133533112973511
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_right,dSPN_left,-0.03879345403373442
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_right,dSPN_right,0.09436939492648617
danlab | DY_014 | 2020-07-18,fast,79,80.88638597837416,iSPN_right,iSPN_right,1.0
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_left,iSPN_left,1.0
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_left,dSPN_left,0.0735093214802505
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_left,dSPN_right,0.05548382877853778
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_left,iSPN_right,0.1441360000216709
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_left,iSPN_left,0.0735093214802505
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_left,dSPN_left,1.0
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_left,dSPN_right,-0.10208358238700621
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_left,iSPN_right,-0.0030456914878100212
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_right,iSPN_left,0.055483828778537775
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_right,dSPN_left,-0.10208358238700621
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_right,dSPN_right,1.0
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,dSPN_right,iSPN_right,0.0005155820216858401
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_right,iSPN_left,0.1441360000216709
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_right,dSPN_left,-0.0030456914878100212
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_right,dSPN_right,0.00051558202168584
danlab | DY_014 | 2020-07-18,slow,79,173.55054870927233,iSPN_right,iSPN_right,1.0
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_left,iSPN_left,1.0
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_left,dSPN_left,-0.09868790723336661
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_left,dSPN_right,0.14810225618164535
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_left,iSPN_right,-0.012836260411526022
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_left,iSPN_left,-0.09868790723336662
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_left,dSPN_left,1.0
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_left,dSPN_right,0.06783557619432534
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_left,iSPN_right,0.0067749207783894165
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_right,iSPN_left,0.14810225618164535
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_right,dSPN_left,0.06783557619432536
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_right,dSPN_right,1.0
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,dSPN_right,iSPN_right,-0.011431339665309884
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_right,iSPN_left,-0.012836260411526022
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_right,dSPN_left,0.0067749207783894165
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_right,dSPN_right,-0.011431339665309884
hoferlab | SWC_061 | 2020-11-23,fast,116,80.58947746690137,iSPN_right,iSPN_right,1.0
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_left,iSPN_left,1.0
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_left,dSPN_left,-0.050111609471799295
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_left,dSPN_right,0.18809410992720899
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_left,iSPN_right,-0.010413162747078111
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_left,iSPN_left,-0.05011160947179929
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_left,dSPN_left,1.0
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_left,dSPN_right,-0.01424321643163469
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_left,iSPN_right,-0.01775731467212956
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_right,iSPN_left,0.188094109927209
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_right,dSPN_left,-0.01424321643163469
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_right,dSPN_right,1.0
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,dSPN_right,iSPN_right,0.057208228704988026
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_right,iSPN_left,-0.010413162747078111
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_right,dSPN_left,-0.01775731467212956
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_right,dSPN_right,0.05720822870498802
hoferlab | SWC_061 | 2020-11-23,slow,116,441.23495020267,iSPN_right,iSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_left,dSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_left,iSPN_left,-0.009945681832726991
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_left,dSPN_right,0.031105537908068533
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_left,iSPN_right,0.02345808811615814
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_left,dSPN_left,-0.009945681832726991
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_left,iSPN_left,1.0
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_left,dSPN_right,0.14620445657391423
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_left,iSPN_right,-0.018097212348275788
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_right,dSPN_left,0.031105537908068533
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_right,iSPN_left,0.14620445657391423
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_right,dSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,dSPN_right,iSPN_right,0.06761787106028218
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_right,dSPN_left,0.023458088116158144
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_right,iSPN_left,-0.018097212348275785
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_right,dSPN_right,0.06761787106028218
mrsicflogellab | SWC_038 | 2020-08-01,fast,117,81.90058382638199,iSPN_right,iSPN_right,1.0
mrsicflogellab | SWC_038 | 2020-08-01,slow,117,344.92136272638163,dSPN_left,dSPN_left,1.0
