,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,216_0,0,left,0,0.7738677093515803,0.0,0.0,4.181818181818181,4.565656565656564,2.707070707070707,6.565656565656565,6.424242424242425,56.71807359307359,49.5806277056277,2.870813397129187,8.755980861244018,78.86868686868686,84.4848484848485,22.008080808080805,27.4020202020202,3.959595959595959,5.494949494949495,No
1,1,10.0,right,216_0,0,left,0,0.6842619745845553,0.0,0.0,3.95959595959596,4.484848484848485,3.191919191919192,6.767676767676767,6.484848484848484,54.84307359307359,50.67099567099567,3.094098883572568,8.93939393939394,81.1111111111111,83.83838383838385,22.361616161616162,26.83434343434343,3.111111111111111,5.7979797979797985,No
2,2,20.0,right,216_0,0,left,0,0.6924079504724666,0.051990493166963754,0.1633986928104575,3.333333333333334,4.323232323232323,3.9999999999999996,6.1010101010101,6.585858585858586,51.26352813852815,54.16666666666667,3.8357256778309408,8.189792663476872,85.5959595959596,83.05050505050505,24.296969696969697,25.181818181818183,2.4444444444444438,6.08080808080808,No
3,3,30.0,right,216_0,0,left,0,0.7983056370153144,1.7676767676767675,2.3024361259655377,3.070707070707071,4.626262626262626,4.02020202020202,5.494949494949494,6.92929292929293,51.845238095238095,54.17207792207792,5.87719298245614,7.001594896331738,85.53535353535354,82.16161616161615,25.175757575757576,24.030303030303024,2.2626262626262617,5.959595959595959,No
4,4,40.0,right,216_0,0,left,0,1.0101010101010102,5.919489007724301,5.822935234699941,3.434343434343435,3.959595959595959,4.242424242424242,5.030303030303029,8.464646464646464,52.08603896103895,53.9853896103896,8.42902711323764,5.861244019138756,84.1010101010101,84.1010101010101,24.9070707070707,24.317171717171718,3.5353535353535346,5.232323232323233,No
5,5,50.0,right,216_0,0,left,0,1.6454871293580973,9.439988116458705,10.011883541295305,3.131313131313131,3.7171717171717176,4.6060606060606055,4.565656565656565,9.535353535353535,51.40963203463204,54.96212121212122,10.414673046251993,4.561403508771929,84.42424242424244,83.81818181818181,25.264646464646464,23.727272727272727,6.02020202020202,5.232323232323232,No
6,6,60.0,right,216_0,0,left,0,2.3378950798305635,13.495246583481878,14.08199643493761,3.111111111111111,3.2121212121212115,5.1313131313131315,4.545454545454545,11.313131313131313,51.439393939393945,54.41829004329004,11.132376395534292,3.4688995215311,83.71717171717172,83.63636363636364,25.494949494949495,24.02222222222222,8.848484848484848,6.666666666666666,No
7,7,70.0,right,216_0,0,left,0,3.144346692733789,17.387106357694588,18.36007130124777,3.01010101010101,2.9090909090909087,5.0101010101010095,4.626262626262625,12.626262626262626,52.3538961038961,53.37121212121212,10.877192982456142,2.655502392344497,84.36363636363636,85.01010101010101,25.553535353535356,23.74343434343434,12.14141414141414,8.787878787878787,No
8,8,80.0,right,216_0,0,left,0,3.9263603779732805,21.108140225787285,22.192513368983956,3.2323232323232323,4.0606060606060606,5.090909090909091,5.797979797979798,14.06060606060606,54.71320346320347,49.62391774891774,10.358851674641148,2.3205741626794256,83.37373737373737,84.52525252525253,24.319191919191915,25.04040404040404,14.606060606060602,11.939393939393938,No
9,9,90.0,right,216_0,0,left,0,4.863147605083088,23.217468805704097,23.774509803921568,3.575757575757576,4.707070707070707,6.06060606060606,7.313131313131311,15.111111111111112,53.1737012987013,48.57413419913419,9.122807017543861,3.309409888357257,84.16161616161617,83.63636363636364,24.008080808080805,26.109090909090902,18.323232323232318,16.22222222222222,No
