,Time (s),trial_num,rt,firing_rate
0,137.87610789270838,18,0.21245077474591767,0.47468354430379744
1,137.91610789270837,18,0.21245077474591767,2.0569620253164556
2,137.95610789270836,18,0.21245077474591767,4.113924050632911
3,137.99610789270835,18,0.21245077474591767,4.746835443037975
4,138.03610789270834,18,0.21245077474591767,4.272151898734177
5,138.07610789270834,18,0.21245077474591767,1.2658227848101267
0,146.81576275858416,21,0.22279590887015388,0.47468354430379744
1,146.85576275858415,21,0.22279590887015388,0.6329113924050633
2,146.89576275858414,21,0.22279590887015388,0.47468354430379744
3,146.93576275858413,21,0.22279590887015388,1.2658227848101267
4,146.97576275858412,21,0.22279590887015388,1.4240506329113924
5,147.01576275858412,21,0.22279590887015388,1.2658227848101267
0,406.51263852214635,86,0.20192014530800861,0.15822784810126583
1,406.55263852214637,86,0.20192014530800861,2.2151898734177213
2,406.5926385221464,86,0.20192014530800861,1.8987341772151898
3,406.6326385221464,86,0.20192014530800861,3.1645569620253164
4,406.6726385221464,86,0.20192014530800861,3.3227848101265822
5,406.71263852214645,86,0.20192014530800861,0.31645569620253167
0,549.6009520098542,122,0.22160665760020493,0.47468354430379744
1,549.6409520098541,122,0.22160665760020493,0.7911392405063291
2,549.6809520098541,122,0.22160665760020493,1.5822784810126582
3,549.720952009854,122,0.22160665760020493,2.0569620253164556
4,549.760952009854,122,0.22160665760020493,3.0063291139240507
5,549.800952009854,122,0.22160665760020493,0.47468354430379744
0,559.3731670491295,124,0.26839161832481295,0.9493670886075949
1,559.4131670491295,124,0.26839161832481295,0.15822784810126583
2,559.4531670491294,124,0.26839161832481295,1.4240506329113924
3,559.4931670491294,124,0.26839161832481295,2.0569620253164556
4,559.5331670491294,124,0.26839161832481295,1.4240506329113924
5,559.5731670491293,124,0.26839161832481295,1.5822784810126582
6,559.6131670491293,124,0.26839161832481295,0.6329113924050633
0,731.2622297248017,166,0.24432894265260074,0.7911392405063291
1,731.3022297248017,166,0.24432894265260074,1.1075949367088607
2,731.3422297248017,166,0.24432894265260074,0.47468354430379744
3,731.3822297248016,166,0.24432894265260074,2.2151898734177213
4,731.4222297248016,166,0.24432894265260074,2.3734177215189876
5,731.4622297248015,166,0.24432894265260074,2.2151898734177213
6,731.5022297248015,166,0.24432894265260074,0.6329113924050633
0,736.4515403159411,168,0.2080183515132603,0.7911392405063291
1,736.491540315941,168,0.2080183515132603,1.1075949367088607
2,736.531540315941,168,0.2080183515132603,1.2658227848101267
3,736.571540315941,168,0.2080183515132603,1.4240506329113924
4,736.6115403159409,168,0.2080183515132603,3.6392405063291138
5,736.6515403159409,168,0.2080183515132603,0.31645569620253167
0,742.6074736982307,170,0.2390849692236543,0.6329113924050633
1,742.6474736982307,170,0.2390849692236543,0.9493670886075949
2,742.6874736982306,170,0.2390849692236543,0.6329113924050633
3,742.7274736982306,170,0.2390849692236543,2.848101265822785
4,742.7674736982306,170,0.2390849692236543,3.6392405063291138
5,742.8074736982305,170,0.2390849692236543,1.2658227848101267
0,758.9418973037116,175,0.22366136374273538,1.740506329113924
1,758.9818973037115,175,0.22366136374273538,0.7911392405063291
2,759.0218973037115,175,0.22366136374273538,1.1075949367088607
3,759.0618973037115,175,0.22366136374273538,1.740506329113924
4,759.1018973037114,175,0.22366136374273538,2.0569620253164556
5,759.1418973037114,175,0.22366136374273538,1.740506329113924
0,898.7479530601346,217,0.30860560731980513,0.9493670886075949
1,898.7879530601346,217,0.30860560731980513,0.9493670886075949
2,898.8279530601345,217,0.30860560731980513,0.7911392405063291
3,898.8679530601345,217,0.30860560731980513,2.0569620253164556
4,898.9079530601344,217,0.30860560731980513,2.5316455696202533
5,898.9479530601344,217,0.30860560731980513,1.8987341772151898
6,898.9879530601344,217,0.30860560731980513,0.47468354430379744
7,899.0279530601343,217,0.30860560731980513,0.47468354430379744
0,906.3846947635159,219,0.21186390393847887,0.7911392405063291
1,906.4246947635158,219,0.21186390393847887,0.6329113924050633
2,906.4646947635158,219,0.21186390393847887,0.9493670886075949
3,906.5046947635158,219,0.21186390393847887,2.3734177215189876
4,906.5446947635157,219,0.21186390393847887,1.740506329113924
