,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,53_0,0,left,0,0.8145975887911372,0.0,0.0,3.4141414141414144,3.4747474747474754,4.9898989898989905,4.02020202020202,6.525252525252526,52.04816017316016,53.39285714285714,9.880382775119616,8.006379585326952,84.98989898989898,86.2020202020202,25.10909090909091,23.824242424242424,3.090909090909091,3.2929292929292924,No
1,1,10.0,right,53_0,0,left,0,0.8716194200065167,0.0,0.0,2.929292929292929,3.4141414141414144,4.505050505050504,3.9191919191919187,6.626262626262626,52.656926406926395,53.714826839826834,9.266347687400318,7.081339712918659,85.93939393939394,86.22222222222223,25.13131313131313,23.989898989898986,3.353535353535354,2.848484848484848,No
2,2,20.0,right,53_0,0,left,0,1.0182469859889212,0.037136066547831255,0.051990493166963754,2.909090909090909,3.9999999999999996,4.767676767676767,3.939393939393939,6.3434343434343425,52.724567099567096,53.476731601731586,7.910685805422646,6.68261562998405,85.95959595959594,87.9191919191919,24.854545454545452,24.377777777777773,3.2525252525252526,2.929292929292929,No
3,3,30.0,right,53_0,0,left,0,0.9693711306614531,0.8318478906714201,1.4780154486036836,2.9494949494949494,4.383838383838384,5.898989898989899,4.707070707070708,6.8686868686868685,51.24999999999999,53.29545454545455,6.156299840510366,6.985645933014354,89.09090909090908,86.2020202020202,25.85050505050505,24.55757575757576,3.0505050505050506,2.686868686868687,No
4,4,40.0,right,53_0,0,left,0,1.1567285760834147,4.1518122400475335,4.961378490790256,2.4444444444444438,3.9191919191919196,5.818181818181818,4.505050505050504,8.262626262626263,51.68831168831168,53.3901515151515,4.146730462519936,7.607655502392344,90.18181818181817,87.5151515151515,26.19191919191919,24.44040404040404,2.686868686868687,3.03030303030303,No
5,5,50.0,right,53_0,0,left,0,1.6291951775822744,7.664884135472371,8.868092691622103,2.2020202020202015,3.131313131313131,5.13131313131313,3.8787878787878785,9.515151515151516,52.253787878787875,54.35064935064934,2.5837320574162677,7.854864433811801,91.35353535353535,88.4040404040404,25.698989898989897,24.086868686868687,3.111111111111111,3.333333333333334,No
6,6,60.0,right,53_0,0,left,0,2.2645812968393613,11.816696375519903,12.626262626262626,3.171717171717172,2.7676767676767673,4.7474747474747465,3.959595959595959,10.868686868686867,53.6038961038961,53.23593073593074,1.6188197767145136,7.591706539074959,89.21212121212122,88.94949494949493,24.878787878787875,24.161616161616156,4.484848484848485,4.505050505050506,No
7,7,70.0,right,53_0,0,left,0,2.9406972955360047,15.38918597742127,15.931372549019608,4.787878787878788,3.6565656565656557,5.838383838383837,4.464646464646464,11.979797979797977,51.7288961038961,53.42261904761904,1.4354066985645935,6.834130781499201,86.90909090909089,88.52525252525253,24.894949494949493,24.482828282828283,7.818181818181818,7.050505050505051,No
8,8,80.0,right,53_0,0,left,0,3.616813294232649,18.76856803327391,19.518716577540104,6.08080808080808,4.242424242424241,7.131313131313132,5.454545454545454,13.454545454545455,49.737554112554115,53.276515151515156,1.7384370015948962,5.542264752791069,85.85858585858585,84.98989898989898,26.248484848484846,24.224242424242423,11.515151515151516,10.707070707070706,No
9,9,90.0,right,53_0,0,left,0,4.488432714239165,22.237076648841352,21.784016636957812,6.90909090909091,5.717171717171717,7.5353535353535355,7.232323232323233,14.84848484848485,51.13095238095238,49.91883116883117,2.9425837320574164,4.218500797448166,82.72727272727272,82.64646464646464,26.561616161616158,25.202020202020204,15.15151515151515,15.919191919191919,No
10,10,100.0,right,53_0,0,left,0,5.156402737047898,22.563874034462273,22.281639928698752,8.020202020202019,8.727272727272727,9.070707070707071,9.414141414141413,15.171717171717171,51.28517316017315,46.569264069264065,4.704944178628389,3.90749601275917,80.00000000000001,78.9090909090909,25.567676767676765,27.81212121212121,19.272727272727277,20.343434343434343,No
11,11,110.0,right,53_0,0,left,0,5.8243727598566295,22.489601901366605,22.87581699346405,8.84848484848485,10.606060606060606,11.212121212121213,12.565656565656566,15.838383838383836,48.701298701298704,44.74296536796536,6.34768740031898,6.06060606060606,81.41414141414141,74.44444444444444,26.983838383838386,29.086868686868687,22.969696969696972,25.95959595959596,No
12,12,120.0,right,53_0,0,left,0,6.2235255783642875,21.887997623291742,22.452465834818774,8.282828282828282,11.434343434343434,12.505050505050503,15.393939393939393,16.202020202020204,49.742965367965354,40.43290043290043,7.735247208931418,10.526315789473683,83.39393939393939,76.94949494949495,27.294949494949492,31.47474747474747,24.767676767676768,29.43434343434344,No
13,13,130.0,right,53_0,1,left,0,6.5900944933203,20.157456922162805,21.902852049910873,8.383838383838382,11.575757575757576,12.747474747474747,16.48484848484848,15.898989898989896,49.629329004329,40.00270562770562,8.237639553429025,16.34768740031898,84.36363636363636,76.9090909090909,26.941414141414143,32.557575757575755,23.737373737373733,30.767676767676768,No
14,14,140.0,right,53_0,1,left,0,6.728576083414794,16.844919786096256,20.46197266785502,8.828282828282827,11.777777777777773,12.141414141414138,17.818181818181817,15.111111111111112,51.40422077922078,38.506493506493506,8.452950558213715,20.773524720893143,84.94949494949493,78.88888888888886,26.804040404040403,32.925252525252525,22.54545454545454,30.54545454545454,No
15,15,150.0,right,53_0,1,left,0,6.842619745845551,12.707961972667851,18.775995246583477,9.373737373737372,10.383838383838382,12.525252525252522,17.11111111111111,13.676767676767675,50.35714285714286,40.69805194805195,7.870813397129186,23.421052631578945,83.17171717171718,84.32323232323232,25.818181818181813,33.064646464646465,22.040404040404038,27.67676767676768,No
16,16,160.0,right,53_0,1,left,0,6.687846203975237,9.150326797385624,17.164289958407604,9.333333333333332,8.363636363636363,12.06060606060606,16.444444444444443,12.787878787878787,47.38095238095238,44.98647186147186,7.5996810207336525,23.65231259968102,86.34343434343434,87.81818181818181,27.71111111111111,30.36969696969697,19.555555555555554,24.56565656565656,No
17,17,170.0,right,53_0,1,left,0,6.3620071684587804,5.718954248366013,14.93612596553773,9.33333333333333,7.636363636363637,10.747474747474746,15.272727272727275,11.474747474747472,51.068722943722946,43.63636363636363,7.814992025518339,21.26794258373206,83.15151515151514,94.12121212121211,26.995959595959597,29.49090909090909,16.666666666666664,20.363636363636363,No
18,18,180.0,right,53_0,1,left,0,5.971000325839035,2.2430184194890077,13.614081996434935,9.919191919191917,8.303030303030301,10.16161616161616,14.26262626262626,10.363636363636363,51.08495670995671,45.124458874458874,7.735247208931417,19.019138755980862,81.1111111111111,92.56565656565657,26.690909090909088,28.737373737373733,15.676767676767673,17.737373737373737,No
19,19,190.0,right,53_0,1,left,0,5.514825676115998,0.4010695187165775,13.636363636363637,10.2020202020202,8.363636363636363,9.838383838383836,14.04040404040404,9.959595959595958,52.36742424242424,44.32359307359307,7.9027113237639535,17.2408293460925,78.58585858585859,92.9090909090909,26.36161616161616,29.16969696969697,15.353535353535353,15.919191919191919,No
20,20,200.0,right,53_0,1,left,0,5.262300423590745,0.29708853238265004,13.807189542483657,9.777777777777777,8.16161616161616,9.01010101010101,14.282828282828284,9.858585858585856,53.971861471861466,43.66612554112554,7.807017543859647,16.730462519936207,75.8989898989899,94.08080808080808,25.484848484848484,29.49494949494949,15.030303030303031,15.19191919191919,No
21,21,210.0,right,53_0,1,left,0,5.058651026392962,0.17082590612002374,14.393939393939394,8.787878787878787,8.747474747474747,8.343434343434343,14.484848484848486,10.282828282828282,54.92424242424242,42.759740259740255,7.982456140350877,17.9585326953748,76.12121212121212,92.42424242424242,24.939393939393938,30.133333333333336,14.424242424242424,15.494949494949497,No
22,22,220.0,right,53_0,1,left,0,5.034213098729229,0.1411170528817588,14.386512180629826,8.262626262626263,9.515151515151516,7.515151515151515,15.313131313131315,9.93939393939394,57.68398268398267,39.85660173160173,7.966507177033492,19.2822966507177,76.20202020202021,90.68686868686869,23.753535353535348,30.955555555555556,13.333333333333332,17.777777777777775,No
23,23,230.0,right,53_0,1,left,0,4.822417725643532,0.1708259061200238,14.743018419489005,7.656565656565656,11.252525252525249,7.5353535353535355,15.434343434343434,9.818181818181817,56.347402597402585,41.10660173160173,7.5996810207336525,20.73365231259968,77.15151515151514,85.01010101010101,23.294949494949492,32.008080808080805,13.030303030303031,18.989898989898986,No
24,24,240.0,right,53_0,1,left,0,4.830563701531443,0.24509803921568632,15.56743909685086,6.767676767676766,12.505050505050503,7.535353535353534,16.060606060606062,9.999999999999998,55.27597402597402,41.43127705627705,7.480063795853269,20.215311004784688,81.05050505050505,80.74747474747474,23.77777777777777,30.98787878787879,10.747474747474746,21.151515151515145,No
25,25,250.0,right,53_0,1,left,0,4.732811990876507,0.37878787878787873,15.203505644682112,5.05050505050505,14.646464646464647,6.828282828282829,17.454545454545453,10.242424242424244,57.87878787878788,38.18722943722943,7.216905901116428,18.038277511961724,84.08080808080807,76.08080808080807,23.230303030303027,31.416161616161613,8.80808080808081,25.49494949494949,No
26,26,260.0,right,53_0,1,left,0,4.69208211143695,0.4382055852644088,15.426322043969101,3.9797979797979797,17.67676767676768,6.626262626262626,17.777777777777775,10.404040404040403,58.75541125541126,36.588203463203456,6.89792663476874,17.296650717703354,87.91919191919192,69.71717171717172,22.28282828282828,33.59393939393939,7.191919191919192,29.171717171717173,No
