,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,105_0,0,left,0,0.7738677093515801,0.0,0.0,2.747474747474748,1.8383838383838387,3.595959595959596,5.878787878787878,6.909090909090909,54.702380952380956,51.73160173160173,7.288676236044656,7.894736842105263,87.47474747474747,96.0,24.125252525252527,25.656565656565657,2.3434343434343434,1.1515151515151514,No
1,1,10.0,right,105_0,0,left,0,0.83088954056696,0.0,0.0,2.666666666666667,2.0808080808080804,4.222222222222221,6.181818181818182,6.646464646464647,53.54978354978355,52.25378787878788,7.424242424242425,8.261562998405102,87.35353535353535,93.33333333333334,24.363636363636363,25.543434343434342,2.6464646464646466,1.4545454545454544,No
2,2,20.0,right,105_0,0,left,0,0.7412838057999348,0.11140819964349374,0.022281639928698752,2.585858585858586,2.484848484848485,4.181818181818182,6.040404040404041,6.7474747474747465,53.23863636363637,52.69209956709956,7.352472089314194,8.39712918660287,90.02020202020202,94.36363636363636,24.379797979797978,25.09090909090909,2.141414141414141,1.595959595959596,No
3,3,30.0,right,105_0,0,left,0,0.8064516129032259,1.7305407011289362,1.3517528223410575,2.808080808080808,2.5050505050505043,3.959595959595959,5.252525252525252,7.151515151515152,53.49025974025974,53.66883116883117,7.2727272727272725,8.628389154704944,89.45454545454544,93.81818181818181,24.335353535353534,24.533333333333335,1.878787878787879,1.5757575757575757,No
4,4,40.0,right,105_0,0,left,0,0.7983056370153144,5.384729649435531,5.414438502673797,2.8282828282828287,2.525252525252525,3.8181818181818183,4.101010101010101,8.14141414141414,53.03030303030303,55.13528138528138,7.280701754385964,8.349282296650717,89.81818181818181,90.8888888888889,24.446464646464644,23.258585858585857,1.8787878787878787,2.5050505050505047,No
5,5,50.0,right,105_0,0,left,0,1.3603779732811991,9.024064171122994,9.261734997029114,2.242424242424242,2.8686868686868685,3.9191919191919196,3.4949494949494953,9.414141414141413,52.410714285714285,55.61417748917749,7.3444976076555015,7.942583732057415,92.04040404040403,90.32323232323232,24.929292929292924,22.701010101010095,2.4444444444444446,4.545454545454546,No
6,6,60.0,right,105_0,0,left,0,2.012056044314109,11.712715389185975,12.982768865121807,1.9191919191919191,3.2525252525252526,3.373737373737374,3.4545454545454546,9.898989898989898,55.57359307359308,52.90313852813852,7.208931419457735,7.894736842105263,93.33333333333331,89.85858585858584,24.149494949494944,23.232323232323232,3.05050505050505,6.1010101010101,No
7,7,70.0,right,105_0,0,left,0,2.525252525252525,15.389185977421272,16.176470588235293,2.6464646464646466,3.5151515151515156,4.3434343434343425,3.4343434343434343,11.05050505050505,53.57954545454545,53.68235930735931,6.626794258373206,8.357256778309408,92.32323232323232,90.36363636363636,24.177777777777774,23.804040404040403,6.1010101010101,8.343434343434344,No
8,8,80.0,right,105_0,0,left,0,3.364288041707397,19.266191325014855,20.00148544266191,2.98989898989899,3.636363636363637,4.949494949494949,4.262626262626262,12.606060606060606,53.18722943722943,52.697510822510814,6.100478468899522,8.69218500797448,93.49494949494948,89.93939393939394,25.11313131313131,23.878787878787875,8.282828282828282,11.979797979797977,No
9,9,90.0,right,105_0,0,left,0,4.301075268817203,21.29382055852644,22.667855020796196,3.555555555555556,4.161616161616161,4.929292929292928,5.333333333333334,13.434343434343434,54.58333333333333,50.083874458874455,5.917065390749602,8.995215311004785,91.03030303030302,91.21212121212122,24.438383838383835,24.939393939393938,10.888888888888888,14.404040404040403,No
10,10,100.0,right,105_0,0,left,0,5.083088954056695,21.717171717171713,21.84343434343434,5.4141414141414135,5.494949494949495,5.636363636363636,6.464646464646464,13.919191919191919,53.81764069264068,49.4345238095238,5.622009569377991,9.23444976076555,86.94949494949495,90.08080808080808,24.04848484848485,26.5030303030303,15.434343434343434,17.37373737373737,No
11,11,110.0,right,105_0,0,left,0,5.563701531443467,22.192513368983956,21.850861556743908,7.838383838383839,6.3434343434343425,6.8686868686868685,7.151515151515152,14.222222222222223,50.928030303030305,51.04978354978354,5.62200956937799,10.063795853269538,83.47474747474747,88.54545454545453,24.97777777777777,26.35151515151515,19.515151515151512,19.919191919191917,No
12,12,120.0,right,105_0,0,left,0,6.142065819485174,23.45513963161022,22.199940582293518,8.727272727272727,7.090909090909091,8.646464646464645,7.777777777777778,15.292929292929294,46.52597402597402,52.98430735930736,6.411483253588517,10.03987240829346,83.69696969696969,85.65656565656565,26.957575757575754,25.111111111111107,22.424242424242422,23.292929292929294,No
13,13,130.0,right,105_0,0,left,0,6.64711632453568,23.79679144385026,23.49227569815805,9.07070707070707,8.121212121212123,8.505050505050507,8.606060606060607,15.757575757575756,48.44155844155844,50.56277056277056,7.814992025518341,9.258373205741625,83.2929292929293,83.67676767676768,27.078787878787878,25.06262626262626,21.818181818181817,26.020202020202017,No
14,14,140.0,right,105_0,0,left,0,6.972955360052135,24.26470588235294,23.262032085561493,9.777777777777777,9.17171717171717,8.565656565656566,9.414141414141413,15.636363636363637,50.14880952380952,48.50108225108226,9.52950558213716,8.301435406698564,79.49494949494948,81.29292929292929,25.797979797979792,26.179797979797982,24.90909090909091,27.272727272727273,No
15,15,150.0,right,105_0,0,left,0,7.2173346366894755,23.819073083778964,23.120915032679733,10.686868686868687,11.252525252525253,9.595959595959595,10.626262626262626,15.898989898989898,48.72294372294371,48.08170995670996,10.28708133971292,7.81499202551834,78.10101010101008,78.18181818181819,25.810101010101008,27.19191919191919,27.777777777777775,30.383838383838384,No
16,16,160.0,right,105_0,1,left,0,7.339524275008146,20.803624480095067,22.69756387403446,10.646464646464647,13.515151515151514,11.595959595959595,13.373737373737374,15.575757575757576,46.547619047619044,45.91720779220779,10.374800637958533,7.854864433811801,79.15151515151514,74.12121212121211,26.929292929292924,28.05454545454545,28.888888888888893,33.85858585858585,No
17,17,170.0,right,105_0,1,left,0,7.412838057999348,17.060308972073678,21.330956625074272,9.737373737373735,15.797979797979798,10.88888888888889,15.252525252525253,14.98989898989899,50.19480519480519,41.4556277056277,9.86443381180223,8.285486443381181,78.9090909090909,70.1010101010101,26.159595959595958,30.20808080808081,27.919191919191917,36.54545454545455,No
18,18,180.0,right,105_0,1,left,0,7.1928967090257405,13.23529411764706,20.150029708853243,10.282828282828284,17.41414141414141,11.050505050505052,16.343434343434343,13.93939393939394,50.589826839826834,40.825216450216445,8.827751196172247,10.175438596491228,78.2020202020202,67.41414141414141,24.743434343434345,31.892929292929285,26.707070707070706,37.47474747474747,No
19,19,190.0,right,105_0,1,left,0,7.07070707070707,9.298871063576946,18.709150326797385,10.444444444444445,20.12121212121212,10.222222222222221,19.454545454545453,13.393939393939394,53.70400432900431,37.548701298701296,7.743221690590112,11.897926634768739,79.15151515151516,60.888888888888886,24.882828282828278,32.810101010101,25.45454545454545,42.060606060606055,No
20,20,200.0,right,105_0,1,left,0,6.7611599869664385,5.072786690433749,17.69162210338681,11.030303030303028,21.696969696969695,9.878787878787877,21.797979797979792,12.525252525252524,57.13744588744589,33.00595238095238,6.020733652312599,15.326953748006382,75.07070707070706,59.79797979797979,23.369696969696964,36.147474747474746,23.23232323232323,43.898989898989896,No
21,21,210.0,right,105_0,1,left,0,6.500488758553274,2.0870469399881166,17.29055258467023,12.464646464646465,19.696969696969692,10.262626262626263,21.919191919191913,12.06060606060606,55.17857142857142,35.21374458874459,4.5374800637958534,21.642743221690587,72.56565656565657,62.12121212121212,23.147474747474746,36.753535353535355,23.737373737373733,42.46464646464645,No
22,22,220.0,right,105_0,1,left,0,6.345715216682959,1.1957813428401662,18.308080808080806,12.222222222222221,16.626262626262626,9.252525252525253,19.131313131313128,11.515151515151514,52.34307359307358,42.63798701298701,4.202551834130781,26.929824561403507,74.96969696969697,66.92929292929293,25.22020202020202,33.57575757575757,21.151515151515152,39.29292929292929,No
23,23,230.0,right,105_0,1,left,0,6.036168132942326,1.0398098633392752,18.76114081996435,11.212121212121211,13.616161616161616,8.969696969696969,17.454545454545453,11.232323232323232,51.44209956709956,46.098484848484844,6.044657097288677,29.39393939393939,79.27272727272727,71.93939393939394,26.347474747474745,30.53737373737374,18.585858585858585,36.303030303030305,No
24,24,240.0,right,105_0,1,left,0,6.011730205278592,0.9432560903149139,18.87997623291741,9.97979797979798,11.898989898989896,7.353535353535353,17.37373737373737,10.94949494949495,57.069805194805184,42.416125541125545,8.50877192982456,29.035087719298243,78.28282828282828,79.4949494949495,25.01414141414141,30.55757575757576,17.535353535353533,33.31313131313132,No
25,25,250.0,right,105_0,1,left,0,5.669599217986313,0.9729649435531788,18.56060606060606,8.989898989898991,9.474747474747472,8.222222222222221,14.282828282828284,10.262626262626263,52.84090909090909,47.14285714285714,10.39872408293461,28.046251993620412,79.55555555555556,85.53535353535352,23.91111111111111,30.735353535353532,17.515151515151516,26.12121212121212,No
26,26,260.0,right,105_0,1,left,0,5.628869338546758,1.0843731431966726,18.93939393939394,7.454545454545454,8.727272727272727,7.959595959595959,12.868686868686867,10.606060606060606,49.52922077922078,51.58820346320346,11.443381180223286,24.952153110047846,86.0,84.46464646464646,25.97979797979798,26.87878787878788,14.929292929292929,24.727272727272727,No
27,27,270.0,right,105_0,1,left,0,5.384490061909416,1.0918003565062389,17.884729649435528,4.141414141414142,9.898989898989898,6.101010101010101,13.131313131313133,10.06060606060606,55.411255411255404,46.77489177489176,11.68261562998405,20.789473684210524,90.12121212121211,84.42424242424242,25.11313131313131,27.375757575757575,9.797979797979798,24.12121212121212,No
28,28,280.0,right,105_0,1,left,0,5.2297165200391,0.9803921568627453,17.20142602495544,2.707070707070707,10.707070707070706,4.484848484848485,13.676767676767675,10.141414141414142,59.886363636363626,42.35930735930736,11.499202551834133,19.035087719298243,90.96969696969698,83.03030303030302,21.480808080808075,29.761616161616157,6.949494949494951,24.1010101010101,No
29,29,290.0,right,105_0,1,left,0,5.1482567611599865,0.8244206773618538,17.75103980986334,2.2626262626262625,10.848484848484848,3.8383838383838382,14.161616161616159,10.262626262626263,59.74837662337663,41.807359307359306,9.665071770334928,18.740031897926634,91.8989898989899,82.88888888888889,20.519191919191922,31.04242424242424,6.161616161616161,24.303030303030308,No
30,30,300.0,right,105_0,1,left,0,4.969045291625937,0.8169934640522876,17.245989304812834,2.2020202020202015,11.353535353535351,3.8383838383838382,13.919191919191919,10.14141414141414,56.899350649350644,44.047619047619044,7.40829346092504,19.12280701754386,93.99999999999999,78.18181818181819,21.44040404040404,30.48282828282828,4.424242424242424,26.464646464646467,No
31,31,310.0,right,105_0,1,left,0,4.969045291625935,0.7872846108140226,17.038027332144978,2.181818181818181,11.434343434343432,2.9696969696969693,14.80808080808081,10.343434343434344,58.73917748917749,42.10768398268399,5.287081339712919,19.370015948963314,93.31313131313131,78.12121212121212,22.14141414141414,30.36565656565657,3.1515151515151514,28.545454545454547,No
32,32,320.0,right,105_0,1,left,0,4.822417725643532,0.5718954248366014,16.59982174688057,2.808080808080808,11.03030303030303,2.7272727272727275,14.484848484848483,9.939393939393938,59.66179653679653,41.471861471861466,3.8596491228070176,20.007974481658692,91.03030303030302,80.54545454545453,21.36161616161616,31.68888888888888,3.515151515151515,26.949494949494945,No
