source,source_bits,target,target_bits,probability,n_common_networks,a,v,t,z
0,[0000],8,[1000],0.2734794130954689,292,-7.8618065524541425,14.167004742111246,-59.6659901800785,12.229647116054274
0,[0000],4,[0100],0.2734794130954689,292,-6.521266035793493,-28.981274700062578,-60.56372992356697,9.540649261715203
0,[0000],5,[0101],0.03600284403076724,266,-11.84864251216229,-40.69556824810545,-79.20690096496398,11.801734010391282
0,[0000],12,[1100],0.07918040204253118,247,-18.63142285615101,-9.414030886134228,-84.18910042649036,14.183510319662739
0,[0000],6,[0110],0.007045439855212979,124,-13.617693901632455,-10.68894746469097,-77.84892730637179,13.541840889506165
0,[0000],1,[0001],0.06857992372826578,176,-2.9752141728541837,-24.41141767284521,-60.94681190460872,10.48097263368307
0,[0000],2,[0010],0.07142395449550773,177,-4.813065564300249,6.996765285906895,-59.62637034488981,12.23236823845331
0,[0000],14,[1110],0.010535841251373537,206,-22.665468881048888,3.3300150451552537,-94.37481636899741,16.537659239496687
0,[0000],10,[1010],0.03904078598668476,272,-14.46367710954328,22.458840339561657,-76.00478126623268,15.44110049015031
0,[0000],15,[1111],0.004783142653997803,194,-23.476105624122468,-9.8253387844352,-102.92846488553594,17.31849167452871
0,[0000],11,[1011],0.009307737056428156,150,-15.721847804528538,5.106395764053458,-87.72292565047759,16.474739025330912
0,[0000],13,[1101],0.009372374119320018,202,-21.191415218910656,-23.177698912515748,-95.9621144170026,15.188991422900742
0,[0000],9,[1001],0.008144269924374637,146,-11.978714779778482,-8.796410129905246,-78.93041475208825,13.919222872735059
0,[0000],7,[0111],0.008919914679076983,154,-13.583363149082242,-25.196950732198463,-87.32719591882332,14.498936575655954
0,[0000],3,[0011],0.023721802081313425,109,-6.637691790330287,-8.501949932378482,-72.58498106156154,13.56970902276344
5,[0101],7,[0111],0.10080106809078772,153,-3.940506642572818,14.468075427581807,-12.608822973068815,3.0682513204298143
5,[0101],15,[1111],0.05874499332443257,190,-11.985483589774663,29.954320823401297,-23.801654882534663,5.253124714539372
5,[0101],13,[1101],0.0794392523364486,190,-8.355047092764849,16.584632076354552,-15.187476092066216,3.078767484575155
5,[0101],11,[1011],0.0033377837116154874,148,-5.168873563254499,44.416562515772995,-11.940699090954736,4.803146844958247
5,[0101],3,[0011],0.008678237650200267,106,2.199807385718672,31.20243822457447,-0.4786742598448177,2.6637359286954054
5,[0101],4,[0100],0.008678237650200267,259,4.941295219740238,11.575083622107234,19.25485042976132,-2.400449974304182
5,[0101],9,[1001],0.004672897196261682,141,-0.9661212056435122,30.540279072238608,-2.1200916487407335,2.339022381691085
5,[0101],1,[0001],0.036048064085447265,171,7.527920774190539,14.903534462127658,13.354273892448088,-0.5617546766572481
5,[0101],12,[1100],0.006675567423230975,218,-5.554093570369145,32.39483424100182,-2.390174812800893,2.0646935250008234
5,[0101],0,[0000],0.008678237650200267,266,11.84864251216229,40.69556824810545,79.20690096496398,-11.801734010391282
5,[0101],14,[1110],0.0013351134846461949,197,-9.565142066613348,43.622685035514635,-13.101504341949889,4.377097815638084
5,[0101],10,[1010],0.0006675567423230974,253,-2.5555983124403774,63.3474331479122,2.101305665161773,3.6669028421204617
6,[0110],15,[1111],0.12083333333333333,105,-10.27138781029007,0.564394394082526,-23.056519959841076,3.3227667838286754
6,[0110],7,[0111],0.2625,93,-3.5947862166582674,-14.491473568000913,-12.759710753480931,1.1292139583355458
6,[0110],14,[1110],0.06666666666666667,96,-8.654677182134831,12.832674485128795,-12.091554061559924,2.075947439086916
6,[0110],5,[0101],0.041666666666666664,120,1.1108319714986812,-29.544721219037207,-0.999442069085707,-1.763666870615983
6,[0110],2,[0010],0.016666666666666666,96,8.075595869841983,18.2226678880753,15.94286862219604,-0.9045127966008277
6,[0110],4,[0100],0.058333333333333334,123,6.251275918940395,-17.536395908646874,19.172413543753407,-4.372735490810902
