network_id,left_d_cross_score,left_i_cross_score,right_d_cross_score,right_i_cross_score,exact_dSPN_pair
1,0.48223482586140926,0.6378267564721456,0.5321908889084614,0.5878706934250935,True
2,0.22435282028707365,0.3055203381288881,0.16715351285809704,0.36271964555786473,True
3,0.32757685014508076,0.4153339349505557,0.2789828123913829,0.46392797270425357,True
4,0.3531026309949886,0.6564779728304477,0.39185101529867816,0.6177295885267582,True
5,-0.0029829037353789473,0.20286163097655366,0.0040651447514467726,0.19581358248972797,True
6,0.3112402814864942,0.47781212205023244,0.35731452205437214,0.4317378814823545,True
7,0.49170012174628763,0.5458324515700577,0.48910929294926797,0.5484232803670772,True
8,0.284796729802477,0.5630322452069275,0.2727742281019314,0.575054746907473,True
9,0.2621671503573835,0.5595670327955409,0.21547516406021094,0.6062590190927135,True
10,0.5237431665358403,0.6109393900988519,0.5530944397015154,0.5815881169331767,True
11,0.33565837732662396,0.5824743889616514,0.34830319146572747,0.5698295748225479,True
12,0.4365523724743464,0.583473500565256,0.44858160481091225,0.5714442682286902,True
13,0.013532340124271389,0.26272458848376207,-0.013903229209907976,0.29016015781794147,True
14,0.2457481421977657,0.3526989400414935,0.18806539982383516,0.41038168241542405,True
15,0.08383509434553535,0.2205560949141671,0.023676980996172083,0.2807142082635304,True
16,0.46253806915805207,0.6721653694490163,0.4903279487909532,0.6443754898161151,True
17,0.2714842867678066,0.5746487679191907,0.3296752364937558,0.5164578181932415,True
18,0.5284416411445749,0.659401532645614,0.5279074406284203,0.6599357331617686,True
19,0.39111847139332145,0.5399016391712266,0.3785894633291579,0.5524306472353901,True
20,0.2785053621944934,0.3937902733928341,0.1866152950737037,0.48568034051362385,True
21,0.26127064093268926,0.5263701572295834,0.2801782510469533,0.5074625471153192,True
22,0.42466646522788376,0.5649636929704743,0.44847592442218553,0.5411542337761726,True
23,0.33639612301355937,0.488864544199341,0.31285019986987306,0.5124104673430273,True
24,0.26042077452252455,0.4806486028252499,0.24404000606728402,0.4970293712804904,True
25,0.3754932896522632,0.4270849277589699,0.371065642422331,0.43151257498890205,False
26,0.14424196637928535,0.19049281431267745,0.10916702661281505,0.22556775407914775,True
27,0.3945918051369501,0.5931087808785138,0.346230120286852,0.641470465728612,True
28,0.4247756504966404,0.5769770031847627,0.42818706124628886,0.5735655924351144,True
29,0.5368168472798742,0.6621529198510943,0.5398304028712948,0.6591393642596737,True
30,0.3630758439674763,0.5942198495433941,0.4344679715207548,0.5228277219901156,True
31,0.4411897633479902,0.6089142833194933,0.4683552252332165,0.581748821434267,True
32,0.41942219026355815,0.5026099762417569,0.3696194892900577,0.5524126772152572,True
33,0.2706773307450588,0.5097282322604738,0.29306480965234794,0.4873407533531846,True
34,0.531997914088202,0.5495615205636406,0.5126583339885283,0.5689011006633141,True
35,0.6687216847315174,0.7427850198568784,0.6587444582772504,0.7527622463111454,True
36,0.5168349727543347,0.5843886375161118,0.5485082112675346,0.5527153990029118,False
37,0.2719481839548255,0.5932448219723476,0.2945970603871078,0.5705959455400653,True
38,0.5812004617059998,0.6563620009246905,0.5663266942813067,0.6712357683493837,True
39,0.5639235490145049,0.6830733605273015,0.546609535614373,0.7003873739274333,True
40,0.6513928518711349,0.7516862943879132,0.7011087627293279,0.7019703835297204,False
41,0.43736175396255933,0.5546036955546865,0.47025566204294,0.5217097874743059,True
42,0.4022455344375252,0.5669636172771785,0.41923777117216066,0.5499713805425429,True
43,0.5431816526718112,0.6424891664805437,0.5229370090251451,0.6627338101272099,True
44,0.4267908823669574,0.5191557064642346,0.40583926050907504,0.5401073283221169,True
45,0.2945403105930099,0.5269536562551875,0.2643768689694252,0.5571170978787722,True
46,0.27789179377995893,0.6706373281339933,0.3940972234605225,0.5544318984534299,True
