source,source_bits,target,target_bits,transition_type,count,probability
5,"[0,1,0,1]",1,"[0,0,0,1]",state_to_state,54,0.036048064085447265
5,"[0,1,0,1]",3,"[0,0,1,1]",state_to_state,13,0.008678237650200267
5,"[0,1,0,1]",4,"[0,1,0,0]",state_to_state,13,0.008678237650200267
5,"[0,1,0,1]",7,"[0,1,1,1]",state_to_state,151,0.10080106809078772
5,"[0,1,0,1]",9,"[1,0,0,1]",state_to_state,7,0.004672897196261682
5,"[0,1,0,1]",10,"[1,0,1,0]",state_to_state,1,0.0006675567423230974
5,"[0,1,0,1]",11,"[1,0,1,1]",state_to_state,5,0.0033377837116154874
5,"[0,1,0,1]",12,"[1,1,0,0]",state_to_state,10,0.006675567423230975
5,"[0,1,0,1]",13,"[1,1,0,1]",state_to_state,119,0.0794392523364486
5,"[0,1,0,1]",14,"[1,1,1,0]",state_to_state,2,0.0013351134846461949
5,"[0,1,0,1]",15,"[1,1,1,1]",state_to_state,88,0.05874499332443257
6,"[0,1,1,0]",END,END,state_to_END,99,0.4125
6,"[0,1,1,0]",0,"[0,0,0,0]",state_to_state,2,0.008333333333333333
6,"[0,1,1,0]",2,"[0,0,1,0]",state_to_state,4,0.016666666666666666
6,"[0,1,1,0]",4,"[0,1,0,0]",state_to_state,14,0.058333333333333334
6,"[0,1,1,0]",5,"[0,1,0,1]",state_to_state,10,0.041666666666666664
6,"[0,1,1,0]",7,"[0,1,1,1]",state_to_state,63,0.2625
6,"[0,1,1,0]",10,"[1,0,1,0]",state_to_state,1,0.004166666666666667
6,"[0,1,1,0]",11,"[1,0,1,1]",state_to_state,2,0.008333333333333333
6,"[0,1,1,0]",14,"[1,1,1,0]",state_to_state,16,0.06666666666666667
6,"[0,1,1,0]",15,"[1,1,1,1]",state_to_state,29,0.12083333333333333
7,"[0,1,1,1]",END,END,state_to_END,719,0.588379705400982
7,"[0,1,1,1]",1,"[0,0,0,1]",state_to_state,10,0.008183306055646482
7,"[0,1,1,1]",2,"[0,0,1,0]",state_to_state,1,0.0008183306055646482
7,"[0,1,1,1]",3,"[0,0,1,1]",state_to_state,147,0.12029459901800327
7,"[0,1,1,1]",4,"[0,1,0,0]",state_to_state,2,0.0016366612111292963
7,"[0,1,1,1]",5,"[0,1,0,1]",state_to_state,51,0.041734860883797055
7,"[0,1,1,1]",6,"[0,1,1,0]",state_to_state,3,0.0024549918166939444
7,"[0,1,1,1]",10,"[1,0,1,0]",state_to_state,1,0.0008183306055646482
7,"[0,1,1,1]",11,"[1,0,1,1]",state_to_state,38,0.031096563011456628
