source,source_bits,target,target_bits,count,probability,n_common_networks,choice,responsiveness,pliancy,a,v,t,z,ddm_0,ddm_1,ddm_2,ddm_3
0,[0000],8,[1000],4231,0.2734794130954689,292,13.970400661142367,39.966785411099174,42.46834227126521,-7.8618065524541425,14.167004742111246,-59.6659901800785,12.229647116054274,-7.8618065524541425,14.167004742111246,-59.6659901800785,12.229647116054274
0,[0000],4,[0100],4231,0.2734794130954689,292,-24.339603109379546,31.412217828319562,40.807639212191994,-6.521266035793493,-28.981274700062578,-60.56372992356697,9.540649261715203,-6.521266035793493,-28.981274700062578,-60.56372992356697,9.540649261715203
0,[0000],5,[0101],557,0.03600284403076724,266,-34.39057932244678,43.08297744302065,51.04674774252666,-11.84864251216229,-40.69556824810545,-79.20690096496398,11.801734010391282,-11.84864251216229,-40.69556824810545,-79.20690096496398,11.801734010391282
0,[0000],12,[1100],1225,0.07918040204253118,247,-7.689860461912823,57.32207572572449,52.56505356923523,-18.63142285615101,-9.414030886134228,-84.18910042649036,14.183510319662739,-18.63142285615101,-9.414030886134228,-84.18910042649036,14.183510319662739
0,[0000],6,[0110],109,0.007045439855212979,124,-8.297442368775723,50.44220409423205,51.23151277385818,-13.617693901632455,-10.68894746469097,-77.84892730637179,13.541840889506165,-13.617693901632455,-10.68894746469097,-77.84892730637179,13.541840889506165
0,[0000],1,[0001],1061,0.06857992372826578,176,-19.431045318608014,29.042236722436407,44.28866450944678,-2.9752141728541837,-24.41141767284521,-60.94681190460872,10.48097263368307,-2.9752141728541837,-24.41141767284521,-60.94681190460872,10.48097263368307
0,[0000],2,[0010],1105,0.07142395449550773,177,8.188141947635838,36.013898272582665,44.00851881562593,-4.813065564300249,6.996765285906895,-59.62637034488981,12.23236823845331,-4.813065564300249,6.996765285906895,-59.62637034488981,12.23236823845331
0,[0000],14,[1110],163,0.010535841251373537,206,3.712080378945023,67.90032104520603,58.6806431107899,-22.665468881048888,3.3300150451552537,-94.37481636899741,16.537659239496687,-22.665468881048888,3.3300150451552537,-94.37481636899741,16.537659239496687
0,[0000],10,[1010],604,0.03904078598668476,272,21.339043921882837,55.468664434571934,51.71362559914185,-14.46367710954328,22.458840339561657,-76.00478126623268,15.44110049015031,-14.46367710954328,22.458840339561657,-76.00478126623268,15.44110049015031
0,[0000],15,[1111],74,0.004783142653997803,194,-7.937302178827768,70.9673278123,63.76390335673304,-23.476105624122468,-9.8253387844352,-102.92846488553594,17.31849167452871,-23.476105624122468,-9.8253387844352,-102.92846488553594,17.31849167452871
0,[0000],11,[1011],144,0.009307737056428156,150,6.088191743795921,58.655699585208424,58.94091389296565,-15.721847804528538,5.106395764053458,-87.72292565047759,16.474739025330912,-15.721847804528538,5.106395764053458,-87.72292565047759,16.474739025330912
0,[0000],13,[1101],145,0.009372374119320018,202,-19.790585004206662,62.6546262930476,59.31773589010342,-21.191415218910656,-23.177698912515748,-95.9621144170026,15.188991422900742,-21.191415218910656,-23.177698912515748,-95.9621144170026,15.188991422900742
0,[0000],9,[1001],126,0.008144269924374637,146,-6.262857420300902,48.327597408355516,53.00079658467483,-11.978714779778482,-8.796410129905246,-78.93041475208825,13.919222872735059,-11.978714779778482,-8.796410129905246,-78.93041475208825,13.919222872735059
0,[0000],7,[0111],138,0.008919914679076983,154,-20.915632816729012,51.73092229753251,57.27307100043643,-13.583363149082242,-25.196950732198463,-87.32719591882332,14.498936575655954,-13.583363149082242,-25.196950732198463,-87.32719591882332,14.498936575655954
0,[0000],3,[0011],367,0.023721802081313425,109,-5.217844654786977,41.68837634765048,52.37300184198886,-6.637691790330287,-8.501949932378482,-72.58498106156154,13.56970902276344,-6.637691790330287,-8.501949932378482,-72.58498106156154,13.56970902276344
5,[0101],7,[0111],151,0.10080106809078772,153,12.88007813020683,11.837586486504776,7.846494544284839,-3.940506642572818,14.468075427581807,-12.608822973068815,3.0682513204298143,-3.940506642572818,14.468075427581807,-12.608822973068815,3.0682513204298143
5,[0101],15,[1111],88,0.05874499332443257,190,26.490812882584745,28.3796482066688,12.156063955606639,-11.985483589774663,29.954320823401297,-23.801654882534663,5.253124714539372,-11.985483589774663,29.954320823401297,-23.801654882534663,5.253124714539372
5,[0101],13,[1101],119,0.0794392523364486,190,14.184226767090617,17.897334247772722,7.375398280123872,-8.355047092764849,16.584632076354552,-15.187476092066216,3.078767484575155,-8.355047092764849,16.584632076354552,-15.187476092066216,3.078767484575155
5,[0101],11,[1011],5,0.0033377837116154874,148,39.634543119780695,18.94815000504607,8.891003527464786,-5.168873563254499,44.416562515772995,-11.940699090954736,4.803146844958247,-5.168873563254499,44.416562515772995,-11.940699090954736,4.803146844958247
5,[0101],3,[0011],13,0.008678237650200267,106,28.34342068784968,4.901209630021358,4.388158813595612,2.199807385718672,31.20243822457447,-0.4786742598448177,2.6637359286954054,2.199807385718672,31.20243822457447,-0.4786742598448177,2.6637359286954054
5,[0101],4,[0100],13,0.008678237650200267,259,10.43829563023445,-12.152952465797329,-10.653817387879926,4.941295219740238,11.575083622107234,19.25485042976132,-2.400449974304182,4.941295219740238,11.575083622107234,19.25485042976132,-2.400449974304182
5,[0101],9,[1001],7,0.004672897196261682,141,27.31162362518214,7.745327439302534,2.7736226393307377,-0.9661212056435122,30.540279072238608,-2.1200916487407335,2.339022381691085,-0.9661212056435122,30.540279072238608,-2.1200916487407335,2.339022381691085
