,bin_num,Time(ms),chosen_action,seed,phase,block,trial_num,CxI_common,Cx_left,Cx_right,dSPN_left,dSPN_right,iSPN_left,iSPN_right,FSI_common,GPeP_left,GPeP_right,GPeA_left,GPeA_right,GPi_left,GPi_right,STN_left,STN_right,Th_left,Th_right,conflict
0,0,0.0,right,196_0,0,left,0,0.6924079504724665,0.0,0.0,5.09090909090909,1.8787878787878787,4.303030303030304,2.7070707070707063,6.4646464646464645,50.7711038961039,56.1823593073593,8.819776714513557,4.194577352472089,83.29292929292929,89.85858585858585,25.575757575757574,22.856565656565657,4.02020202020202,2.404040404040403,No
1,1,10.0,right,196_0,0,left,0,0.6598240469208212,0.0,0.0,4.444444444444444,2.222222222222222,3.8787878787878785,2.181818181818181,6.525252525252525,52.47023809523808,55.24350649350649,9.92822966507177,3.4928229665071773,82.92929292929293,90.2020202020202,24.87878787878788,22.490909090909085,3.9797979797979792,2.1212121212121207,No
2,2,20.0,right,196_0,0,left,0,0.6598240469208211,0.15597147950089127,0.09655377302436126,3.959595959595959,2.484848484848485,3.8787878787878785,2.707070707070707,6.505050505050505,53.246753246753244,53.61201298701299,10.438596491228068,3.4449760765550237,82.52525252525251,89.53535353535354,24.47676767676768,22.917171717171712,3.9999999999999996,2.222222222222222,No
3,3,30.0,right,196_0,0,left,0,0.8145975887911372,2.168746286393345,1.6711229946524064,3.696969696969697,2.3232323232323226,4.040404040404041,3.01010101010101,7.111111111111112,53.84469696969697,52.27002164502164,9.96012759170654,3.8835725677830935,82.66666666666666,89.99999999999999,23.981818181818184,23.98787878787879,4.242424242424241,2.3838383838383836,No
4,4,40.0,right,196_0,0,left,0,1.1404366243075919,5.830362448009507,5.28817587641117,3.4949494949494944,2.242424242424242,4.6060606060606055,3.2929292929292937,8.444444444444445,52.286255411255404,52.740800865800864,9.05103668261563,4.633173843700159,82.5858585858586,90.04040404040403,23.94545454545454,24.228282828282826,5.313131313131313,3.7979797979797976,No
5,5,50.0,right,196_0,0,left,0,1.6047572499185405,9.893048128342246,9.358288770053475,3.4343434343434343,2.282828282828282,4.464646464646464,3.2121212121212115,9.95959595959596,51.57467532467531,53.89339826839826,8.285486443381181,5.693779904306219,82.58585858585859,89.1111111111111,24.55757575757576,23.92525252525252,7.292929292929292,4.787878787878788,No
6,6,60.0,right,196_0,0,left,0,2.2238514173998043,14.007724301841948,12.923351158645277,3.535353535353536,2.1818181818181817,4.3434343434343425,3.6767676767676765,11.29292929292929,53.09794372294371,52.394480519480524,8.18181818181818,6.236044657097287,82.4040404040404,89.5151515151515,24.298989898989895,24.26060606060606,10.282828282828282,6.98989898989899,No
7,7,70.0,right,196_0,0,left,0,3.1036168132942326,18.538324420677363,17.31283422459893,4.1010101010101,2.808080808080808,4.888888888888888,4.2020202020202015,12.929292929292927,51.80465367965368,52.748917748917755,8.42902711323764,6.666666666666666,80.90909090909092,89.83838383838383,24.02222222222222,24.907070707070705,13.878787878787877,10.1010101010101,No
8,8,80.0,right,196_0,0,left,0,4.113717823395242,22.823826500297084,21.64289958407605,5.151515151515151,3.6767676767676765,6.06060606060606,4.909090909090909,14.82828282828283,49.46699134199134,53.595779220779214,8.444976076555022,7.280701754385964,82.22222222222223,86.52525252525251,25.096969696969698,24.541414141414144,18.181818181818183,14.464646464646462,No
9,9,90.0,right,196_0,0,left,0,5.0423590746171385,24.888591800356505,24.34640522875817,5.6767676767676765,5.232323232323232,7.191919191919192,6.363636363636363,15.999999999999998,48.94480519480519,51.90746753246753,8.524720893141946,7.791068580542264,82.58585858585859,85.41414141414141,26.230303030303027,24.541414141414137,20.94949494949495,19.07070707070707,No
10,10,100.0,right,196_0,0,left,0,5.783642880417073,24.806892453951278,24.83660130718954,6.626262626262626,7.515151515151515,7.474747474747475,7.85858585858586,16.06060606060606,50.944264069264065,48.936688311688314,8.588516746411482,9.338118022328548,81.17171717171716,81.35353535353535,26.244444444444444,25.77171717171717,22.86868686868687,23.616161616161616,No
11,11,110.0,right,196_0,0,left,0,6.427174975562073,24.57664884135472,24.613784907902552,8.16161616161616,9.676767676767675,8.121212121212121,9.13131313131313,16.141414141414142,51.29058441558441,47.28084415584415,8.237639553429027,10.885167464114833,78.48484848484848,78.96969696969698,25.454545454545453,27.24848484848485,26.181818181818183,29.232323232323235,No
12,12,120.0,right,196_0,1,left,0,6.842619745845553,21.92513368983957,23.566547831253715,10.707070707070706,11.434343434343434,9.434343434343432,12.202020202020202,15.95959595959596,51.14177489177489,43.620129870129865,8.293460925039874,12.384370015948964,73.67676767676767,75.95959595959594,26.074747474747472,28.56363636363636,28.505050505050498,32.90909090909091,No
13,13,130.0,right,196_0,1,left,0,6.972955360052135,17.661913250148544,21.55377302436126,12.484848484848483,11.898989898989898,10.303030303030303,14.080808080808081,15.050505050505052,51.50162337662337,41.31222943722943,8.269537480063795,14.401913875598087,69.29292929292929,76.24242424242424,25.969696969696965,30.612121212121213,30.24242424242424,32.94949494949495,No
14,14,140.0,right,196_0,1,left,0,7.054415118931247,13.472964943553176,19.221628045157455,13.959595959595958,12.646464646464644,11.919191919191919,15.111111111111112,13.83838383838384,48.8474025974026,42.14285714285714,8.588516746411484,15.311004784688992,66.98989898989898,76.04040404040403,26.575757575757574,31.03434343434343,30.060606060606062,32.868686868686865,No
15,15,150.0,right,196_0,1,left,0,6.801889866405995,9.484551396316101,17.96642899584076,14.505050505050507,12.303030303030301,11.737373737373735,16.34343434343434,13.01010101010101,48.74188311688311,42.462121212121204,10.422647527910685,15.28708133971292,67.23232323232322,75.59595959595958,27.408080808080808,30.903030303030302,29.878787878787875,33.07070707070707,No
16,16,160.0,right,196_0,1,left,0,6.671554252199414,6.127450980392157,16.562685680332734,14.464646464646465,11.636363636363635,11.616161616161616,16.383838383838384,12.222222222222221,49.92424242424242,41.94805194805194,12.360446570972886,14.338118022328546,66.34343434343432,80.26262626262627,26.713131313131314,31.535353535353536,28.26262626262626,30.60606060606061,No
17,17,170.0,right,196_0,1,left,0,6.35386119257087,2.3767082590612,15.931372549019608,12.686868686868689,12.929292929292929,11.353535353535351,16.909090909090907,11.353535353535351,50.22727272727272,41.904761904761905,13.47687400318979,13.21371610845295,69.39393939393939,79.45454545454544,26.86464646464646,31.41212121212121,23.898989898989896,29.292929292929294,No
18,18,180.0,right,196_0,1,left,0,6.190941674812643,0.9284016636957815,16.844919786096256,9.93939393939394,16.585858585858585,10.242424242424242,17.939393939393938,11.03030303030303,52.391774891774894,40.987554112554115,13.253588516746412,12.304625199362043,75.1111111111111,72.22222222222223,25.44040404040404,32.169696969696965,20.040404040404038,32.666666666666664,No
19,19,190.0,right,196_0,1,left,0,5.995438253502769,0.861556743909685,17.543077837195483,7.6767676767676765,22.121212121212118,8.848484848484846,22.343434343434343,11.25252525252525,57.754329004329,34.68885281385281,11.666666666666664,13.189792663476874,79.01010101010101,61.33333333333333,24.377777777777773,34.17777777777777,15.858585858585856,41.131313131313135,No
